Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Human cytomegalovirus infection	2/225	0.0077206996104776	0.032598509466461	0	0	17.72645739910314	86.21883506646472	MDM2;TP53
KEGG_2021_Human	Shigellosis	2/246	0.0091683321030275	0.03667332841211	0	0	16.18360655737705	75.93348027624658	MDM2;TP53
KEGG_2021_Human	MicroRNAs in cancer	2/310	0.0142644808921906	0.0542050273903244	0	0	12.77922077922078	54.31146704320471	MDM2;TP53
KEGG_2021_Human	Human papillomavirus infection	2/331	0.0161525930197568	0.0584570033095963	0	0	11.950759878419452	49.30494748140544	MDM2;TP53
KEGG_2021_Human	Pentose phosphate pathway	1/30	0.0178569680089386	0.0605954384030953	0	0	62.56739811912226	251.8563944353508	PGD
KEGG_2021_Human	PI3K-Akt signaling pathway	2/354	0.0183380932009367	0.0605954384030953	0	0	11.15681818181818	44.613603248303015	MDM2;TP53
KEGG_2021_Human	Thyroid cancer	1/37	0.0219813268798694	0.0696075351195865	0	0	50.38383838383838	192.34342502593887	TP53
KEGG_2021_Human	Ferroptosis	1/41	0.0243309700172123	0.0739661488523255	0	0	45.33636363636364	168.47016546086343	TP53
KEGG_2021_Human	Vasopressin-regulated water reabsorption	1/44	0.02608980569517	0.0762625089551123	0	0	42.16701902748415	153.74983290143678	ARHGDIB
KEGG_2021_Human	Malaria	1/50	0.029598761568907	0.083315032564331	0	0	36.99257884972171	130.2147194065139	ITGB2
KEGG_2021_Human	Legionellosis	1/57	0.0336778952288052	0.0867903377657986	0	0	32.357142857142854	109.72027527854156	ITGB2
KEGG_2021_Human	Glutathione metabolism	1/57	0.0336778952288052	0.0867903377657986	0	0	32.357142857142854	109.72027527854156	PGD
KEGG_2021_Human	Endometrial cancer	1/58	0.0342593438549205	0.0867903377657986	0	0	31.78787878787879	107.24581633848624	TP53
KEGG_2021_Human	Basal cell carcinoma	1/63	0.0371617795762726	0.0904922316093181	0	0	29.21700879765396	96.19625574937484	TP53
KEGG_2021_Human	Pathways in cancer	2/531	0.0389388795298255	0.0904922316093181	0	0	7.356899810964083	23.878746239481305	MDM2;TP53
KEGG_2021_Human	Mitophagy	1/68	0.0400562176312821	0.0904922316093181	0	0	27.029850746268657	86.96777093294467	TP53
KEGG_2021_Human	Central carbon metabolism in cancer	1/70	0.0412117579843178	0.0904922316093181	0	0	26.24374176548089	83.69212377043256	TP53
KEGG_2021_Human	Non-small cell lung cancer	1/72	0.0423660231927322	0.0904922316093181	0	0	25.50192061459667	80.62199058091778	TP53
KEGG_2021_Human	Pancreatic cancer	1/76	0.0446707332647378	0.0904922316093181	0	0	24.136969696969697	75.02824312324114	TP53
KEGG_2021_Human	Pertussis	1/76	0.0446707332647378	0.0904922316093181	0	0	24.136969696969697	75.02824312324114	ITGB2
KEGG_2021_Human	Leishmaniasis	1/77	0.045246115804659	0.0904922316093181	0	0	23.818181818181817	73.7324794714548	ITGB2
KEGG_2021_Human	Colorectal cancer	1/86	0.0504102825788442	0.0982354224613374	0	0	21.28663101604278	63.59508959960996	TP53
KEGG_2021_Human	Small cell lung cancer	1/92	0.0538388224488497	0.1002239838495203	0	0	19.87712287712288	58.07619178413111	TP53
KEGG_2021_Human	Rheumatoid arthritis	1/93	0.0544091413155041	0.1002239838495203	0	0	19.6600790513834	57.23487628907971	ITGB2
KEGG_2021_Human	Staphylococcus aureus infection	1/95	0.0555488338237398	0.1002239838495203	0	0	19.239845261121857	55.612633361315446	ITGB2
KEGG_2021_Human	Hematopoietic cell lineage	1/99	0.0578244423082685	0.1002239838495203	0	0	18.450834879406308	52.5912212421319	CD55
KEGG_2021_Human	Amoebiasis	1/102	0.0595278491998325	0.1002239838495203	0	0	17.900090009000902	50.50172123995827	ITGB2
KEGG_2021_Human	Longevity regulating pathway	1/102	0.0595278491998325	0.1002239838495203	0	0	17.900090009000902	50.50172123995827	TP53
KEGG_2021_Human	C-type lectin receptor signaling pathway	1/104	0.0606618849615517	0.1002239838495203	0	0	17.550750220653132	49.1849192357055	MDM2
KEGG_2021_Human	Leukocyte transendothelial migration	1/114	0.066313285228921	0.1072299931361276	0	0	15.989541432019308	43.38546242886158	ITGB2
KEGG_2021_Human	Sphingolipid signaling pathway	1/119	0.0691272821079329	0.109451530004227	0	0	15.308166409861323	40.90044788489106	TP53
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	1/131	0.0758491854913785	0.1144648643052651	0	0	13.886713286713286	35.81394898804782	ITGB2
KEGG_2021_Human	FoxO signaling pathway	1/131	0.0758491854913785	0.1144648643052651	0	0	13.886713286713286	35.81394898804782	MDM2
KEGG_2021_Human	Measles	1/139	0.0803057041431777	0.1144648643052651	0	0	13.076416337285902	32.97760560549118	TP53
KEGG_2021_Human	Fluid shear stress and atherosclerosis	1/139	0.0803057041431777	0.1144648643052651	0	0	13.076416337285902	32.97760560549118	TP53
KEGG_2021_Human	Ubiquitin mediated proteolysis	1/140	0.0808613816724605	0.1144648643052651	0	0	12.98168737737083	32.64918946753722	MDM2
KEGG_2021_Human	Apoptosis	1/142	0.0819718135764	0.1144648643052651	0	0	12.796260477111542	32.008307827212725	TP53
KEGG_2021_Human	Breast cancer	1/147	0.0847425154048087	0.1144648643052651	0	0	12.35491905354919	30.493643355051663	TP53
KEGG_2021_Human	Cell adhesion molecules	1/148	0.0852957350850606	0.1144648643052651	0	0	12.27025355596784	30.20483438071292	ITGB2
KEGG_2021_Human	Gastric cancer	1/149	0.0858486482289488	0.1144648643052651	0	0	12.186732186732186	29.920492407790988	TP53
KEGG_2021_Human	Phagosome	1/152	0.0875055499955367	0.1146624448217378	0	0	11.94280553883203	29.093307967223456	ITGB2
KEGG_2021_Human	Hepatitis C	1/157	0.0902609366199126	0.1161665563067598	0	0	11.557109557109555	27.795432208182252	TP53
KEGG_2021_Human	Hepatitis B	1/162	0.0930086945358641	0.1161665563067598	0	0	11.19536984754376	26.589700865792462	TP53
KEGG_2021_Human	Hippo signaling pathway	1/163	0.09355733235428	0.1161665563067598	0	0	11.125701459034792	26.35879884341197	ITGB2
KEGG_2021_Human	Wnt signaling pathway	1/166	0.0952014210864982	0.1161665563067598	0	0	10.92176308539945	25.685370030735868	TP53
KEGG_2021_Human	Hepatocellular carcinoma	1/168	0.0962959611490246	0.1161665563067598	0	0	10.78987479586282	25.251855826797005	TP53
KEGG_2021_Human	Tuberculosis	1/180	0.1028377535701424	0.1208761744922177	0	0	10.060436769933975	22.883497050073817	ITGB2
KEGG_2021_Human	NOD-like receptor signaling pathway	1/181	0.1033809387104494	0.1208761744922177	0	0	10.004040404040405	22.70251581962161	CARD6
KEGG_2021_Human	Neutrophil extracellular trap formation	1/189	0.107715579413401	0.1240361217487648	0	0	9.574468085106384	21.33441430499087	ITGB2
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	1/193	0.1098756886076526	0.124635109465397	0	0	9.37310606060606	20.69962043670308	TP53
KEGG_2021_Human	Rap1 signaling pathway	1/210	0.1190027806822704	0.1330031078213611	0	0	8.603305785123966	18.313069126011605	ITGB2
KEGG_2021_Human	Lipid and atherosclerosis	1/215	0.1216708462021688	0.133833967746424	0	0	8.40016992353441	17.694419176440732	TP53
KEGG_2021_Human	Regulation of actin cytoskeleton	1/218	0.1232681281874958	0.133833967746424	0	0	8.282781734394637	17.339120551730986	ITGB2
KEGG_2021_Human	Parkinson disease	1/249	0.1396181714887919	0.1490291467631672	0	0	7.236070381231672	14.24669323894371	TP53
KEGG_2021_Human	Endocytosis	1/252	0.1411855074598426	0.1490291467631672	0	0	7.148496921405288	13.994473724874467	MDM2
KEGG_2021_Human	MAPK signaling pathway	1/294	0.1628551604586404	0.1695478382857078	0	0	6.110766366739063	11.090393577042272	TP53
KEGG_2021_Human	Huntington disease	1/306	0.1689537697970903	0.1735200878997143	0	0	5.8667660208643815	10.431873562163403	TP53
KEGG_2021_Human	Amyotrophic lateral sclerosis	1/364	0.1978603533366429	0.2004984913811315	0	0	4.914850989231154	7.963011018585761	TP53
KEGG_2021_Human	Herpes simplex virus 1 infection	1/498	0.2611546544729327	0.2611546544729327	0	0	3.5652094384488757	4.786801717997988	TP53
