,Lapatinib_ActArea,Panobinostat_ActArea,Paclitaxel_ActArea,Irinotecan_ActArea,PD-0325901_ActArea,AZD6244_ActArea,Nilotinib_ActArea,AEW541_ActArea,17-AAG_ActArea,PHA-665752_ActArea,Nutlin-3_ActArea,AZD0530_ActArea,PF2341066_ActArea,L-685458_ActArea,ZD-6474_ActArea,Sorafenib_ActArea,LBW242_ActArea,PD-0332991_ActArea,PLX4720_ActArea,RAF265_ActArea,TAE684_ActArea,TKI258_ActArea,Erlotinib_ActArea,Lapatinib_ActArea_N,Panobinostat_ActArea_N,Paclitaxel_ActArea_N,Irinotecan_ActArea_N,PD-0325901_ActArea_N,AZD6244_ActArea_N,Nilotinib_ActArea_N,AEW541_ActArea_N,17-AAG_ActArea_N,PHA-665752_ActArea_N,Nutlin-3_ActArea_N,AZD0530_ActArea_N,PF2341066_ActArea_N,L-685458_ActArea_N,ZD-6474_ActArea_N,Sorafenib_ActArea_N,LBW242_ActArea_N,PD-0332991_ActArea_N,PLX4720_ActArea_N,RAF265_ActArea_N,TAE684_ActArea_N,TKI258_ActArea_N,Erlotinib_ActArea_N
LUNG,0.7307692307692307,0.84,0.8846153846153846,0.7142857142857143,0.8,0.8333333333333334,0.6818181818181818,0.6086956521739131,0.7307692307692307,0.5185185185185185,0.44,0.391304347826087,0.8095238095238095,0.5454545454545454,0.625,0.84,0.8571428571428571,0.7619047619047619,0.7586206896551724,0.8,0.625,0.6538461538461539,0.7391304347826086,26,25,26,7,25,30,22,23,26,27,25,23,21,22,24,25,21,21,29,25,24,26,23
BONE,1.0,0.0,,,1.0,1.0,0.5,0.0,0.3333333333333333,1.0,0.75,1.0,,0.5,1.0,0.0,0.5,0.5,0.6666666666666666,0.0,0.5,0.5,1.0,4,1,0,0,5,4,2,2,3,4,4,3,0,2,3,2,4,2,3,2,2,2,4
PLEURA,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,,,1.0,1.0,1.0,0.0,0.3333333333333333,,0.0,1.0,,0.0,1.0,1,2,3,0,1,1,2,1,1,2,0,0,1,1,2,1,3,0,1,1,0,1,1
ENDOMETRIUM,1.0,0.25,0.6666666666666666,0.8,1.0,1.0,0.5,0.8,1.0,0.3333333333333333,1.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,0.0,1.0,1,4,3,5,4,5,2,5,3,3,1,1,2,1,1,2,3,2,3,3,7,1,1
BREAST,0.4,0.6666666666666666,1.0,0.8571428571428571,1.0,0.9166666666666666,0.3333333333333333,0.6666666666666666,0.75,0.625,0.8333333333333334,0.8,0.9166666666666666,0.5714285714285714,1.0,0.5,0.5714285714285714,0.6666666666666666,0.8461538461538461,0.875,0.9230769230769231,0.8181818181818182,0.8,5,6,9,7,14,12,6,9,8,8,12,10,12,7,10,8,7,6,13,8,13,11,10
PANCREAS,0.2857142857142857,1.0,1.0,1.0,0.0,0.0,1.0,0.2,0.4,0.625,0.2,0.0,0.14285714285714285,1.0,0.6666666666666666,0.7777777777777778,0.6,1.0,0.42857142857142855,1.0,0.0,1.0,0.42857142857142855,7,12,8,8,1,1,8,5,5,8,5,4,7,10,9,9,10,6,7,8,3,8,7
AERODIGESTIVE,,1.0,,,0.0,0.0,0.0,0.6666666666666666,,,1.0,,1.0,0.0,,0.3333333333333333,0.0,0.5,1.0,0.6666666666666666,1.0,1.0,,0,2,0,0,1,1,1,3,0,0,3,0,2,1,0,3,2,2,2,3,4,3,0
LARGE_INTESTINE,0.5,0.0,0.625,1.0,1.0,1.0,0.0,0.0,0.5,0.0,0.6,0.75,0.25,0.4,0.3333333333333333,0.25,0.0,0.0,0.3333333333333333,0.7142857142857143,,1.0,0.5,4,3,8,2,1,1,2,1,4,4,5,4,4,5,3,4,6,3,3,7,0,5,4
GANGLIA,1.0,,0.0,,1.0,0.5,,,0.75,1.0,0.5,0.5,,0.0,0.0,1.0,0.0,,1.0,0.5,,0.5,1.0,3,0,1,0,1,2,0,0,4,1,2,2,0,1,1,1,1,0,3,2,0,2,4
OESOPHAGUS,0.0,1.0,0.0,0.5,0.6,1.0,,0.3333333333333333,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,0.4,0.0,1,8,4,2,5,6,0,3,2,3,3,2,9,3,4,6,1,2,3,3,6,5,1
FIBROBLAST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERVIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVER,0.7142857142857143,1.0,0.6666666666666666,0.6,0.8333333333333334,1.0,1.0,0.8,0.75,0.8,0.5,0.8,0.8333333333333334,1.0,0.8333333333333334,0.75,0.75,0.8,0.3333333333333333,1.0,0.8333333333333334,0.6666666666666666,1.0,7,7,6,5,6,6,4,5,8,5,4,5,6,5,6,4,4,5,3,6,6,6,3
BILIARY,,,0.0,0.0,,,,1.0,,,,0.0,,,,,,,,,1.0,1.0,,,,1,1,,,,1,,,,1,,,,,,,,,1,1,
SMALL_INTESTINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
