,DHAP/glyceraldehyde 3P,GABA,pantothenate,adenosine,beta-alanine,cis/trans-hydroxyproline,niacinamide,glutamine,N-carbamoyl-beta-alanine,urate,asparagine,cytidine,C18:0 LPC,inosine,alpha-glycerophosphocholine,5-HIAA,homocysteine,putrescine,serotonin,hippurate,valerylcarnitine,C18:0 LPE,C34:2 DAG,C16:0 LPE,hypoxanthine,guanosine,taurodeoxycholate,creatine,phosphocreatine,carnitine
1982,5.0,3.0,0.0,1.0,4.0,6.0,11.0,2.0,9.0,12.0,10.0,7.0,24.0,23.0,13.0,18.0,43.0,37.0,17.0,15.0,16.0,20.0,35.0,26.0,22.0,14.0,27.0,25.0,38.0,8.0
2031,2.0,4.0,3.0,1.0,0.0,7.0,5.0,8.0,18.0,19.0,13.0,10.0,23.0,32.0,26.0,21.0,14.0,9.0,16.0,12.0,6.0,20.0,38.0,33.0,22.0,15.0,17.0,34.0,24.0,11.0
2080,1.0,3.0,2.0,4.0,0.0,10.0,7.0,9.0,5.0,14.0,11.0,6.0,26.0,22.0,12.0,30.0,31.0,45.0,13.0,21.0,35.0,8.0,37.0,32.0,19.0,18.0,42.0,17.0,29.0,16.0
2129,0.0,3.0,1.0,2.0,5.0,7.0,4.0,10.0,9.0,20.0,6.0,8.0,14.0,13.0,18.0,16.0,37.0,17.0,25.0,15.0,12.0,36.0,30.0,26.0,24.0,22.0,27.0,19.0,35.0,11.0
2178,3.0,1.0,4.0,0.0,2.0,7.0,10.0,17.0,16.0,8.0,19.0,9.0,14.0,27.0,23.0,6.0,22.0,34.0,18.0,25.0,13.0,35.0,24.0,21.0,29.0,31.0,12.0,11.0,26.0,5.0
2227,4.0,1.0,3.0,2.0,0.0,7.0,5.0,6.0,9.0,11.0,13.0,17.0,10.0,30.0,23.0,21.0,34.0,40.0,8.0,16.0,15.0,22.0,29.0,27.0,20.0,19.0,26.0,14.0,31.0,18.0
2276,1.0,0.0,2.0,4.0,3.0,7.0,5.0,8.0,10.0,17.0,11.0,14.0,9.0,15.0,23.0,24.0,37.0,20.0,16.0,12.0,13.0,22.0,35.0,33.0,31.0,25.0,27.0,18.0,28.0,6.0
2325,1.0,3.0,4.0,0.0,2.0,10.0,5.0,6.0,7.0,11.0,8.0,16.0,20.0,14.0,22.0,12.0,42.0,33.0,9.0,18.0,17.0,25.0,39.0,23.0,29.0,27.0,30.0,13.0,45.0,15.0
2374,0.0,5.0,1.0,3.0,2.0,7.0,6.0,4.0,9.0,14.0,10.0,13.0,15.0,12.0,11.0,8.0,29.0,33.0,21.0,18.0,22.0,23.0,32.0,24.0,39.0,25.0,26.0,17.0,28.0,16.0
2423,6.0,2.0,5.0,3.0,0.0,12.0,9.0,1.0,13.0,4.0,14.0,8.0,7.0,19.0,15.0,10.0,37.0,27.0,34.0,23.0,30.0,22.0,24.0,17.0,41.0,32.0,29.0,18.0,25.0,16.0
2472,0.0,1.0,2.0,5.0,6.0,4.0,7.0,3.0,20.0,17.0,24.0,25.0,9.0,28.0,13.0,16.0,14.0,37.0,10.0,23.0,52.0,8.0,12.0,30.0,11.0,18.0,36.0,19.0,33.0,44.0
2521,2.0,4.0,5.0,1.0,0.0,12.0,11.0,3.0,30.0,8.0,6.0,18.0,10.0,29.0,16.0,21.0,13.0,9.0,39.0,28.0,36.0,19.0,14.0,17.0,27.0,24.0,58.0,32.0,23.0,38.0
2570,0.0,2.0,1.0,5.0,3.0,4.0,8.0,12.0,9.0,7.0,10.0,6.0,16.0,21.0,13.0,43.0,14.0,26.0,18.0,11.0,44.0,15.0,17.0,22.0,23.0,31.0,48.0,34.0,30.0,36.0
2619,0.0,3.0,1.0,2.0,11.0,4.0,8.0,5.0,23.0,7.0,9.0,19.0,13.0,30.0,6.0,35.0,16.0,21.0,10.0,29.0,34.0,12.0,33.0,14.0,17.0,24.0,38.0,25.0,32.0,45.0
2668,0.0,5.0,9.0,1.0,4.0,2.0,3.0,10.0,7.0,11.0,16.0,24.0,6.0,20.0,18.0,21.0,13.0,14.0,17.0,32.0,38.0,22.0,8.0,25.0,28.0,26.0,29.0,31.0,15.0,45.0
2717,2.0,1.0,0.0,3.0,4.0,5.0,6.0,9.0,13.0,8.0,12.0,16.0,7.0,50.0,11.0,36.0,17.0,29.0,18.0,23.0,34.0,21.0,25.0,26.0,19.0,15.0,33.0,24.0,22.0,40.0
2766,1.0,4.0,0.0,2.0,3.0,6.0,12.0,5.0,8.0,10.0,14.0,38.0,17.0,16.0,7.0,39.0,9.0,22.0,43.0,18.0,37.0,15.0,21.0,13.0,26.0,19.0,63.0,24.0,28.0,58.0
2815,0.0,5.0,1.0,11.0,14.0,3.0,16.0,9.0,6.0,10.0,17.0,22.0,7.0,26.0,2.0,21.0,36.0,19.0,25.0,20.0,33.0,8.0,24.0,23.0,42.0,30.0,32.0,35.0,15.0,29.0
2864,0.0,5.0,1.0,2.0,4.0,8.0,9.0,6.0,23.0,3.0,7.0,14.0,10.0,30.0,18.0,37.0,28.0,11.0,46.0,21.0,48.0,22.0,16.0,15.0,13.0,20.0,26.0,29.0,47.0,33.0
2913,0.0,5.0,1.0,4.0,2.0,6.0,3.0,10.0,32.0,11.0,9.0,8.0,14.0,18.0,12.0,38.0,23.0,13.0,27.0,20.0,37.0,15.0,17.0,7.0,16.0,26.0,45.0,25.0,28.0,36.0
2962,2.0,7.0,0.0,3.0,1.0,6.0,8.0,17.0,5.0,4.0,10.0,9.0,11.0,16.0,14.0,12.0,15.0,13.0,29.0,20.0,19.0,26.0,21.0,34.0,18.0,24.0,25.0,32.0,41.0,22.0
3011,1.0,2.0,9.0,3.0,0.0,10.0,7.0,6.0,16.0,4.0,14.0,13.0,5.0,12.0,11.0,17.0,18.0,8.0,24.0,30.0,19.0,26.0,32.0,21.0,20.0,15.0,23.0,31.0,27.0,25.0
3060,2.0,5.0,0.0,4.0,3.0,1.0,15.0,8.0,6.0,9.0,14.0,12.0,10.0,11.0,7.0,33.0,16.0,17.0,26.0,18.0,21.0,30.0,19.0,24.0,23.0,27.0,39.0,20.0,31.0,29.0
3109,2.0,3.0,1.0,5.0,0.0,4.0,6.0,8.0,11.0,7.0,26.0,10.0,24.0,15.0,14.0,9.0,29.0,12.0,13.0,17.0,21.0,32.0,19.0,23.0,25.0,41.0,16.0,20.0,30.0,18.0
3158,1.0,0.0,3.0,2.0,4.0,9.0,7.0,11.0,14.0,6.0,12.0,10.0,8.0,13.0,15.0,16.0,19.0,23.0,25.0,34.0,22.0,30.0,5.0,29.0,26.0,24.0,28.0,20.0,21.0,17.0
3207,0.0,1.0,2.0,4.0,3.0,5.0,11.0,9.0,13.0,6.0,15.0,25.0,8.0,7.0,10.0,14.0,19.0,12.0,20.0,26.0,22.0,36.0,24.0,33.0,18.0,23.0,31.0,34.0,28.0,16.0
3256,0.0,3.0,6.0,8.0,1.0,7.0,2.0,12.0,4.0,5.0,20.0,13.0,9.0,11.0,10.0,16.0,19.0,14.0,15.0,35.0,30.0,18.0,21.0,23.0,34.0,46.0,26.0,17.0,32.0,27.0
3305,4.0,1.0,3.0,2.0,0.0,6.0,12.0,8.0,10.0,5.0,11.0,21.0,9.0,15.0,7.0,27.0,16.0,14.0,19.0,33.0,18.0,13.0,17.0,26.0,20.0,31.0,48.0,22.0,25.0,28.0
3354,1.0,0.0,5.0,4.0,3.0,6.0,2.0,12.0,14.0,8.0,31.0,25.0,7.0,16.0,18.0,10.0,22.0,9.0,27.0,36.0,13.0,11.0,19.0,24.0,17.0,34.0,21.0,26.0,29.0,30.0
3403,0.0,1.0,2.0,3.0,5.0,7.0,4.0,15.0,9.0,6.0,20.0,11.0,14.0,17.0,19.0,30.0,13.0,8.0,28.0,31.0,29.0,21.0,16.0,26.0,10.0,37.0,24.0,12.0,22.0,23.0
3452,4.0,0.0,1.0,9.0,3.0,8.0,2.0,23.0,6.0,12.0,5.0,24.0,18.0,19.0,13.0,28.0,7.0,36.0,11.0,22.0,40.0,26.0,10.0,25.0,16.0,21.0,37.0,29.0,38.0,17.0
3501,8.0,0.0,1.0,3.0,6.0,5.0,4.0,14.0,2.0,12.0,10.0,15.0,33.0,21.0,13.0,24.0,7.0,22.0,9.0,20.0,38.0,32.0,17.0,11.0,27.0,43.0,16.0,29.0,23.0,26.0
3550,4.0,0.0,5.0,2.0,1.0,3.0,6.0,8.0,7.0,13.0,15.0,10.0,18.0,11.0,9.0,30.0,16.0,14.0,12.0,20.0,32.0,19.0,24.0,23.0,26.0,44.0,31.0,27.0,21.0,28.0
3599,0.0,1.0,6.0,2.0,4.0,5.0,7.0,18.0,3.0,11.0,19.0,13.0,23.0,29.0,12.0,27.0,10.0,16.0,15.0,51.0,28.0,22.0,34.0,20.0,25.0,39.0,24.0,30.0,35.0,32.0
3648,1.0,0.0,3.0,7.0,4.0,2.0,9.0,11.0,6.0,20.0,13.0,10.0,21.0,14.0,12.0,19.0,18.0,27.0,8.0,17.0,46.0,22.0,16.0,15.0,26.0,41.0,25.0,24.0,28.0,32.0
3697,2.0,0.0,8.0,1.0,4.0,6.0,5.0,11.0,7.0,21.0,16.0,29.0,23.0,25.0,3.0,45.0,17.0,18.0,12.0,19.0,65.0,10.0,14.0,9.0,35.0,56.0,24.0,32.0,20.0,39.0
3746,1.0,0.0,2.0,5.0,3.0,6.0,8.0,10.0,4.0,16.0,14.0,17.0,19.0,15.0,12.0,37.0,13.0,9.0,11.0,26.0,41.0,40.0,21.0,7.0,47.0,32.0,30.0,23.0,29.0,39.0
3795,4.0,0.0,1.0,3.0,8.0,5.0,7.0,12.0,2.0,15.0,10.0,38.0,28.0,6.0,11.0,35.0,22.0,26.0,20.0,27.0,25.0,14.0,16.0,13.0,24.0,37.0,18.0,29.0,19.0,21.0
3844,1.0,0.0,2.0,3.0,5.0,4.0,8.0,10.0,9.0,19.0,12.0,29.0,25.0,6.0,7.0,42.0,26.0,14.0,28.0,33.0,22.0,16.0,11.0,23.0,24.0,17.0,39.0,20.0,36.0,21.0
3893,1.0,0.0,4.0,2.0,12.0,3.0,8.0,6.0,7.0,22.0,19.0,10.0,14.0,15.0,11.0,41.0,24.0,5.0,39.0,40.0,28.0,31.0,38.0,13.0,21.0,16.0,33.0,9.0,26.0,17.0
3942,0.0,2.0,3.0,7.0,5.0,9.0,6.0,1.0,12.0,20.0,13.0,27.0,10.0,16.0,4.0,11.0,8.0,17.0,29.0,23.0,18.0,14.0,22.0,26.0,19.0,33.0,25.0,28.0,21.0,35.0
3991,1.0,0.0,5.0,7.0,4.0,6.0,2.0,3.0,11.0,19.0,12.0,28.0,22.0,24.0,10.0,15.0,16.0,20.0,26.0,27.0,9.0,13.0,8.0,32.0,14.0,25.0,30.0,17.0,38.0,47.0
4040,0.0,1.0,5.0,2.0,3.0,6.0,4.0,15.0,10.0,7.0,11.0,23.0,14.0,13.0,16.0,12.0,20.0,19.0,22.0,39.0,21.0,25.0,8.0,18.0,17.0,34.0,27.0,37.0,24.0,28.0
4089,1.0,0.0,2.0,11.0,3.0,7.0,5.0,4.0,6.0,12.0,8.0,22.0,16.0,21.0,15.0,18.0,17.0,19.0,10.0,14.0,38.0,35.0,9.0,24.0,20.0,13.0,32.0,27.0,29.0,23.0
4138,1.0,0.0,4.0,8.0,2.0,5.0,10.0,3.0,7.0,13.0,9.0,19.0,15.0,16.0,14.0,17.0,24.0,11.0,6.0,32.0,18.0,26.0,12.0,20.0,21.0,28.0,27.0,25.0,29.0,31.0
4187,0.0,1.0,2.0,22.0,29.0,8.0,3.0,14.0,4.0,18.0,9.0,15.0,20.0,5.0,6.0,28.0,21.0,7.0,13.0,23.0,10.0,16.0,12.0,33.0,11.0,24.0,19.0,25.0,31.0,54.0
4236,0.0,5.0,10.0,1.0,7.0,12.0,2.0,3.0,6.0,9.0,4.0,19.0,15.0,18.0,20.0,26.0,11.0,16.0,21.0,29.0,23.0,14.0,8.0,35.0,24.0,13.0,34.0,27.0,22.0,46.0
4285,1.0,0.0,2.0,16.0,10.0,27.0,3.0,12.0,8.0,15.0,6.0,25.0,4.0,13.0,9.0,7.0,17.0,11.0,21.0,19.0,14.0,18.0,23.0,26.0,20.0,5.0,22.0,31.0,33.0,37.0
4334,0.0,6.0,1.0,3.0,4.0,10.0,5.0,14.0,21.0,9.0,20.0,2.0,8.0,23.0,15.0,19.0,12.0,7.0,42.0,28.0,13.0,27.0,22.0,18.0,24.0,26.0,11.0,30.0,35.0,33.0
4383,1.0,0.0,9.0,8.0,6.0,13.0,2.0,3.0,14.0,15.0,12.0,10.0,7.0,20.0,29.0,4.0,11.0,22.0,18.0,26.0,17.0,5.0,16.0,30.0,19.0,25.0,21.0,27.0,33.0,23.0
4432,0.0,4.0,1.0,3.0,5.0,2.0,18.0,6.0,14.0,7.0,13.0,20.0,33.0,9.0,10.0,12.0,11.0,8.0,31.0,17.0,34.0,22.0,47.0,29.0,16.0,23.0,26.0,44.0,19.0,49.0
4481,0.0,1.0,4.0,8.0,5.0,3.0,6.0,10.0,11.0,13.0,15.0,14.0,9.0,2.0,16.0,12.0,21.0,7.0,19.0,26.0,41.0,36.0,33.0,25.0,31.0,32.0,35.0,46.0,17.0,18.0
4530,0.0,1.0,4.0,10.0,2.0,7.0,6.0,8.0,3.0,12.0,15.0,13.0,11.0,5.0,14.0,22.0,17.0,23.0,33.0,19.0,43.0,26.0,28.0,24.0,32.0,25.0,40.0,31.0,9.0,36.0
4579,0.0,4.0,1.0,2.0,3.0,7.0,6.0,13.0,18.0,11.0,10.0,5.0,8.0,9.0,12.0,20.0,17.0,15.0,16.0,14.0,52.0,37.0,25.0,30.0,21.0,26.0,29.0,27.0,32.0,19.0
4628,0.0,2.0,6.0,1.0,4.0,7.0,13.0,3.0,10.0,9.0,12.0,23.0,8.0,5.0,16.0,21.0,14.0,15.0,11.0,18.0,44.0,37.0,33.0,34.0,20.0,32.0,36.0,17.0,22.0,27.0
4677,0.0,1.0,4.0,8.0,2.0,5.0,13.0,10.0,3.0,7.0,15.0,11.0,17.0,6.0,22.0,18.0,20.0,25.0,44.0,9.0,36.0,19.0,52.0,14.0,34.0,51.0,23.0,28.0,42.0,24.0
4726,1.0,2.0,3.0,0.0,4.0,7.0,5.0,13.0,6.0,17.0,18.0,12.0,20.0,16.0,14.0,9.0,25.0,8.0,11.0,27.0,57.0,45.0,54.0,24.0,22.0,23.0,10.0,29.0,19.0,26.0
4775,0.0,8.0,2.0,1.0,5.0,4.0,14.0,3.0,6.0,15.0,13.0,9.0,10.0,12.0,11.0,7.0,26.0,22.0,20.0,37.0,54.0,24.0,48.0,17.0,27.0,29.0,21.0,33.0,23.0,36.0
4824,0.0,1.0,3.0,5.0,7.0,4.0,15.0,10.0,13.0,6.0,12.0,8.0,9.0,2.0,21.0,14.0,18.0,31.0,11.0,17.0,44.0,25.0,19.0,33.0,49.0,24.0,27.0,34.0,16.0,30.0
4873,0.0,2.0,1.0,3.0,4.0,10.0,17.0,5.0,11.0,18.0,6.0,14.0,8.0,16.0,15.0,33.0,7.0,9.0,28.0,41.0,39.0,26.0,45.0,22.0,34.0,12.0,35.0,32.0,21.0,20.0
