,C16:0 LPE,creatine,inositol,urate,2-deoxycytidine,C22:6 LPE,C22:6 CE,pantothenate,beta-alanine,N-carbamoyl-beta-alanine,palmitoylcarnitine,1-methylnicotinamide,serotonin,valerylcarnitine,alpha-glycerophosphocholine,pyroglutamic acid,butyrylcarnitine/isobutyrylcarnitine,C36:1 DAG,C34:2 DAG,5-HIAA,cytidine,niacinamide,C56:3 TAG,guanosine,NADP,alpha-hydroxybutyrate,inosine,cis/trans-hydroxyproline,3-phosphoglycerate,cystathionine
1007,2.0,0.0,26.0,30.0,22.0,10.0,9.0,1.0,38.0,56.0,4.0,19.0,53.0,17.0,13.0,18.0,47.0,8.0,7.0,15.0,6.0,57.0,5.0,11.0,31.0,25.0,27.0,14.0,24.0,29.0
1056,0.0,4.0,26.0,3.0,6.0,10.0,12.0,5.0,11.0,15.0,17.0,47.0,14.0,41.0,16.0,20.0,22.0,9.0,23.0,13.0,30.0,58.0,25.0,28.0,7.0,2.0,29.0,51.0,1.0,32.0
1105,1.0,0.0,8.0,29.0,4.0,17.0,46.0,25.0,13.0,21.0,14.0,6.0,16.0,39.0,19.0,5.0,15.0,44.0,12.0,54.0,9.0,20.0,2.0,35.0,7.0,48.0,28.0,55.0,24.0,10.0
1154,0.0,5.0,33.0,29.0,64.0,4.0,20.0,7.0,15.0,65.0,6.0,56.0,10.0,37.0,58.0,47.0,13.0,19.0,42.0,2.0,1.0,12.0,66.0,35.0,25.0,50.0,26.0,14.0,9.0,28.0
1203,1.0,2.0,5.0,32.0,64.0,14.0,11.0,27.0,23.0,65.0,7.0,3.0,53.0,13.0,19.0,18.0,15.0,10.0,16.0,52.0,9.0,58.0,25.0,35.0,8.0,50.0,6.0,51.0,66.0,30.0
1252,1.0,10.0,21.0,4.0,5.0,12.0,26.0,2.0,29.0,62.0,6.0,19.0,58.0,15.0,64.0,32.0,34.0,0.0,36.0,17.0,7.0,63.0,14.0,47.0,49.0,55.0,11.0,16.0,41.0,45.0
1301,19.0,7.0,34.0,26.0,8.0,20.0,22.0,3.0,17.0,11.0,16.0,49.0,1.0,46.0,12.0,50.0,40.0,37.0,5.0,0.0,6.0,65.0,25.0,29.0,4.0,52.0,28.0,51.0,14.0,31.0
1350,2.0,17.0,55.0,25.0,3.0,33.0,4.0,7.0,11.0,15.0,12.0,21.0,60.0,14.0,16.0,1.0,45.0,27.0,5.0,20.0,30.0,6.0,66.0,34.0,28.0,23.0,29.0,59.0,22.0,26.0
1399,0.0,7.0,26.0,9.0,14.0,5.0,2.0,11.0,19.0,65.0,10.0,23.0,53.0,43.0,59.0,15.0,44.0,40.0,4.0,12.0,34.0,58.0,25.0,33.0,1.0,52.0,28.0,51.0,66.0,41.0
1448,0.0,7.0,26.0,34.0,2.0,5.0,21.0,9.0,18.0,57.0,17.0,1.0,6.0,44.0,59.0,48.0,16.0,20.0,40.0,4.0,31.0,58.0,24.0,33.0,30.0,50.0,3.0,10.0,66.0,32.0
1497,6.0,0.0,7.0,5.0,22.0,31.0,24.0,32.0,8.0,61.0,37.0,19.0,10.0,35.0,18.0,1.0,16.0,27.0,30.0,3.0,26.0,62.0,13.0,9.0,2.0,21.0,51.0,14.0,43.0,25.0
1546,4.0,11.0,2.0,31.0,62.0,22.0,46.0,1.0,20.0,55.0,35.0,15.0,18.0,19.0,13.0,6.0,17.0,25.0,9.0,27.0,33.0,56.0,28.0,5.0,7.0,34.0,47.0,40.0,66.0,43.0
1595,6.0,14.0,3.0,28.0,5.0,13.0,43.0,2.0,4.0,16.0,20.0,1.0,54.0,46.0,17.0,64.0,18.0,22.0,8.0,53.0,9.0,65.0,0.0,7.0,29.0,52.0,45.0,10.0,25.0,36.0
1644,1.0,2.0,7.0,51.0,23.0,27.0,0.0,49.0,18.0,61.0,15.0,13.0,59.0,4.0,63.0,17.0,14.0,8.0,6.0,58.0,10.0,62.0,21.0,31.0,5.0,30.0,47.0,57.0,42.0,11.0
1693,1.0,9.0,7.0,28.0,0.0,4.0,8.0,30.0,5.0,61.0,20.0,18.0,16.0,23.0,22.0,10.0,13.0,37.0,35.0,17.0,36.0,62.0,24.0,6.0,51.0,26.0,50.0,19.0,44.0,33.0
1742,4.0,0.0,3.0,53.0,9.0,6.0,10.0,7.0,23.0,25.0,19.0,2.0,17.0,16.0,62.0,35.0,38.0,28.0,11.0,18.0,13.0,24.0,1.0,31.0,32.0,56.0,33.0,59.0,44.0,47.0
1791,2.0,1.0,4.0,8.0,65.0,25.0,0.0,12.0,16.0,61.0,37.0,21.0,58.0,36.0,19.0,6.0,17.0,31.0,9.0,23.0,28.0,18.0,15.0,32.0,3.0,54.0,50.0,57.0,44.0,26.0
1840,33.0,2.0,23.0,34.0,4.0,30.0,29.0,6.0,9.0,60.0,14.0,0.0,12.0,15.0,62.0,20.0,16.0,26.0,3.0,57.0,45.0,61.0,1.0,27.0,31.0,24.0,50.0,11.0,43.0,28.0
1889,20.0,0.0,10.0,1.0,8.0,33.0,25.0,53.0,19.0,12.0,37.0,29.0,60.0,14.0,21.0,2.0,15.0,38.0,28.0,17.0,26.0,11.0,22.0,5.0,4.0,31.0,52.0,18.0,46.0,48.0
1938,6.0,18.0,31.0,5.0,3.0,1.0,0.0,52.0,20.0,15.0,41.0,17.0,23.0,13.0,62.0,21.0,14.0,29.0,32.0,10.0,27.0,61.0,66.0,2.0,8.0,25.0,50.0,57.0,24.0,11.0
1987,0.0,22.0,10.0,24.0,31.0,3.0,5.0,28.0,20.0,63.0,13.0,9.0,4.0,36.0,7.0,33.0,19.0,25.0,32.0,59.0,2.0,18.0,66.0,8.0,12.0,65.0,29.0,58.0,15.0,6.0
2036,10.0,9.0,7.0,23.0,5.0,27.0,11.0,51.0,15.0,61.0,14.0,8.0,6.0,41.0,63.0,4.0,31.0,3.0,28.0,1.0,19.0,62.0,66.0,0.0,49.0,21.0,12.0,58.0,34.0,2.0
2085,0.0,22.0,24.0,9.0,7.0,10.0,12.0,29.0,16.0,5.0,4.0,3.0,18.0,31.0,61.0,44.0,34.0,32.0,39.0,6.0,14.0,60.0,66.0,27.0,15.0,11.0,20.0,19.0,2.0,49.0
2134,1.0,13.0,5.0,8.0,3.0,0.0,30.0,50.0,4.0,62.0,15.0,10.0,17.0,35.0,63.0,31.0,40.0,27.0,25.0,12.0,28.0,9.0,66.0,14.0,49.0,55.0,23.0,11.0,18.0,29.0
2183,5.0,13.0,4.0,8.0,25.0,22.0,2.0,10.0,45.0,6.0,1.0,18.0,16.0,20.0,56.0,17.0,57.0,24.0,23.0,52.0,34.0,12.0,0.0,7.0,29.0,53.0,63.0,26.0,27.0,37.0
2232,8.0,19.0,7.0,0.0,21.0,4.0,6.0,25.0,14.0,15.0,3.0,5.0,13.0,18.0,17.0,55.0,36.0,33.0,32.0,57.0,1.0,16.0,66.0,30.0,27.0,22.0,53.0,65.0,44.0,28.0
2281,2.0,19.0,21.0,6.0,45.0,9.0,1.0,32.0,15.0,16.0,14.0,4.0,20.0,7.0,61.0,31.0,17.0,5.0,39.0,13.0,0.0,60.0,22.0,26.0,50.0,29.0,8.0,12.0,44.0,24.0
2330,1.0,64.0,15.0,31.0,8.0,11.0,30.0,22.0,3.0,60.0,19.0,0.0,18.0,12.0,62.0,23.0,32.0,5.0,27.0,57.0,2.0,61.0,66.0,7.0,48.0,16.0,24.0,56.0,20.0,28.0
2379,6.0,19.0,4.0,1.0,3.0,9.0,11.0,53.0,22.0,2.0,16.0,10.0,14.0,41.0,17.0,0.0,42.0,39.0,24.0,12.0,23.0,15.0,66.0,27.0,7.0,13.0,28.0,8.0,43.0,47.0
2428,1.0,12.0,3.0,4.0,31.0,2.0,11.0,5.0,6.0,9.0,14.0,16.0,13.0,35.0,63.0,17.0,34.0,28.0,36.0,58.0,10.0,62.0,22.0,30.0,0.0,53.0,7.0,57.0,42.0,26.0
2477,4.0,5.0,37.0,25.0,6.0,19.0,1.0,0.0,46.0,11.0,16.0,14.0,54.0,42.0,13.0,8.0,15.0,2.0,21.0,3.0,39.0,12.0,24.0,29.0,49.0,7.0,26.0,52.0,9.0,34.0
2526,0.0,3.0,22.0,6.0,7.0,33.0,10.0,32.0,2.0,14.0,5.0,11.0,60.0,16.0,13.0,34.0,38.0,8.0,41.0,17.0,27.0,4.0,24.0,1.0,31.0,30.0,29.0,18.0,44.0,21.0
2575,2.0,7.0,10.0,56.0,4.0,22.0,1.0,3.0,36.0,16.0,6.0,48.0,9.0,19.0,15.0,17.0,5.0,43.0,23.0,51.0,27.0,14.0,8.0,12.0,63.0,29.0,47.0,18.0,26.0,30.0
2624,0.0,6.0,25.0,5.0,14.0,19.0,1.0,2.0,8.0,4.0,9.0,52.0,55.0,15.0,61.0,22.0,50.0,21.0,44.0,3.0,28.0,62.0,32.0,29.0,30.0,38.0,65.0,16.0,11.0,27.0
2673,3.0,1.0,33.0,29.0,18.0,15.0,21.0,2.0,10.0,57.0,23.0,7.0,0.0,8.0,20.0,16.0,45.0,19.0,17.0,13.0,30.0,5.0,4.0,28.0,9.0,52.0,38.0,51.0,66.0,32.0
2722,6.0,7.0,56.0,9.0,15.0,22.0,3.0,29.0,8.0,58.0,18.0,25.0,11.0,16.0,5.0,10.0,48.0,24.0,23.0,17.0,43.0,13.0,1.0,34.0,31.0,33.0,41.0,26.0,27.0,4.0
2771,13.0,4.0,9.0,7.0,2.0,41.0,1.0,29.0,15.0,62.0,22.0,3.0,10.0,8.0,19.0,20.0,38.0,5.0,33.0,11.0,30.0,18.0,16.0,6.0,31.0,23.0,32.0,12.0,45.0,28.0
2820,3.0,4.0,9.0,29.0,22.0,15.0,2.0,0.0,35.0,55.0,17.0,20.0,51.0,18.0,8.0,21.0,32.0,43.0,42.0,25.0,16.0,24.0,11.0,33.0,12.0,63.0,23.0,49.0,6.0,14.0
2869,2.0,3.0,7.0,9.0,10.0,13.0,11.0,27.0,8.0,62.0,24.0,17.0,59.0,5.0,16.0,15.0,33.0,35.0,31.0,58.0,18.0,1.0,0.0,29.0,26.0,25.0,50.0,19.0,42.0,12.0
2918,35.0,0.0,21.0,52.0,37.0,33.0,3.0,10.0,29.0,15.0,11.0,40.0,9.0,12.0,19.0,4.0,14.0,7.0,25.0,20.0,5.0,18.0,1.0,26.0,30.0,56.0,31.0,60.0,43.0,46.0
2967,1.0,8.0,10.0,28.0,3.0,0.0,24.0,33.0,11.0,13.0,6.0,20.0,51.0,48.0,14.0,18.0,57.0,45.0,23.0,9.0,34.0,56.0,27.0,2.0,4.0,30.0,64.0,16.0,17.0,42.0
3016,0.0,1.0,2.0,32.0,9.0,26.0,12.0,28.0,3.0,14.0,38.0,6.0,18.0,21.0,13.0,39.0,20.0,23.0,34.0,19.0,47.0,62.0,31.0,4.0,27.0,56.0,52.0,59.0,42.0,46.0
3065,3.0,1.0,26.0,28.0,63.0,9.0,0.0,31.0,10.0,65.0,16.0,15.0,53.0,18.0,13.0,47.0,32.0,5.0,8.0,52.0,7.0,12.0,24.0,30.0,11.0,54.0,34.0,51.0,4.0,6.0
3114,1.0,7.0,2.0,57.0,9.0,5.0,26.0,35.0,6.0,14.0,21.0,16.0,40.0,17.0,12.0,15.0,19.0,25.0,24.0,66.0,0.0,13.0,37.0,33.0,34.0,64.0,51.0,28.0,11.0,32.0
3163,1.0,4.0,58.0,6.0,5.0,18.0,23.0,0.0,16.0,57.0,15.0,2.0,52.0,12.0,24.0,7.0,37.0,21.0,19.0,51.0,31.0,65.0,27.0,28.0,10.0,30.0,9.0,50.0,3.0,35.0
3212,18.0,6.0,34.0,61.0,49.0,0.0,2.0,11.0,7.0,57.0,16.0,12.0,54.0,43.0,15.0,9.0,44.0,3.0,21.0,13.0,33.0,58.0,1.0,5.0,45.0,52.0,27.0,17.0,24.0,4.0
3261,3.0,6.0,7.0,27.0,5.0,1.0,0.0,31.0,40.0,15.0,19.0,17.0,52.0,43.0,13.0,56.0,44.0,34.0,46.0,51.0,11.0,65.0,26.0,10.0,29.0,57.0,30.0,14.0,4.0,2.0
3310,0.0,14.0,8.0,27.0,15.0,1.0,3.0,32.0,7.0,12.0,43.0,23.0,24.0,44.0,13.0,49.0,9.0,21.0,20.0,53.0,33.0,4.0,25.0,28.0,2.0,55.0,41.0,52.0,66.0,38.0
3359,9.0,3.0,6.0,59.0,5.0,10.0,22.0,28.0,23.0,57.0,12.0,0.0,2.0,13.0,19.0,1.0,38.0,11.0,42.0,53.0,31.0,20.0,25.0,30.0,48.0,34.0,32.0,52.0,24.0,44.0
3408,0.0,1.0,5.0,9.0,19.0,11.0,39.0,22.0,7.0,16.0,35.0,18.0,2.0,34.0,63.0,29.0,6.0,4.0,27.0,58.0,3.0,62.0,66.0,8.0,24.0,12.0,50.0,17.0,20.0,45.0
3457,0.0,18.0,3.0,7.0,8.0,39.0,13.0,9.0,1.0,54.0,17.0,24.0,4.0,12.0,6.0,10.0,40.0,23.0,22.0,14.0,33.0,55.0,26.0,35.0,11.0,29.0,27.0,50.0,2.0,31.0
3506,6.0,15.0,4.0,9.0,2.0,22.0,23.0,10.0,7.0,13.0,21.0,18.0,17.0,20.0,14.0,1.0,19.0,36.0,5.0,3.0,29.0,55.0,27.0,28.0,63.0,31.0,64.0,51.0,16.0,32.0
3555,0.0,14.0,9.0,8.0,1.0,7.0,2.0,29.0,21.0,13.0,20.0,24.0,53.0,34.0,58.0,23.0,19.0,4.0,22.0,52.0,6.0,56.0,25.0,35.0,49.0,5.0,32.0,11.0,16.0,43.0
3604,0.0,10.0,2.0,22.0,1.0,30.0,11.0,26.0,18.0,13.0,16.0,12.0,60.0,37.0,15.0,33.0,5.0,24.0,27.0,14.0,3.0,63.0,20.0,50.0,4.0,6.0,28.0,59.0,42.0,46.0
3653,0.0,14.0,9.0,7.0,2.0,6.0,3.0,26.0,37.0,54.0,15.0,16.0,12.0,17.0,56.0,64.0,42.0,22.0,21.0,4.0,1.0,13.0,25.0,35.0,32.0,29.0,8.0,11.0,10.0,34.0
3702,6.0,12.0,7.0,5.0,19.0,32.0,28.0,1.0,25.0,13.0,42.0,2.0,16.0,39.0,11.0,4.0,23.0,31.0,10.0,17.0,8.0,3.0,66.0,34.0,30.0,24.0,54.0,18.0,45.0,9.0
3751,18.0,28.0,31.0,10.0,7.0,17.0,3.0,1.0,20.0,8.0,22.0,6.0,51.0,23.0,57.0,24.0,45.0,16.0,4.0,26.0,14.0,56.0,12.0,30.0,11.0,9.0,59.0,27.0,2.0,13.0
3800,0.0,3.0,30.0,7.0,9.0,8.0,10.0,32.0,23.0,61.0,5.0,4.0,57.0,37.0,62.0,35.0,17.0,12.0,11.0,6.0,1.0,15.0,2.0,31.0,29.0,24.0,50.0,19.0,43.0,18.0
3849,24.0,20.0,8.0,51.0,42.0,33.0,11.0,5.0,3.0,14.0,6.0,12.0,59.0,41.0,63.0,19.0,1.0,9.0,4.0,58.0,0.0,10.0,23.0,13.0,7.0,55.0,30.0,17.0,43.0,28.0
3898,0.0,26.0,4.0,2.0,1.0,23.0,31.0,5.0,7.0,21.0,19.0,8.0,59.0,3.0,16.0,9.0,42.0,27.0,13.0,17.0,11.0,62.0,66.0,49.0,6.0,18.0,25.0,58.0,35.0,29.0
3947,13.0,18.0,5.0,3.0,17.0,8.0,10.0,0.0,6.0,19.0,15.0,4.0,20.0,1.0,58.0,66.0,41.0,9.0,31.0,2.0,30.0,57.0,24.0,27.0,29.0,7.0,25.0,51.0,22.0,40.0
3996,12.0,6.0,9.0,3.0,62.0,13.0,21.0,7.0,16.0,4.0,15.0,11.0,2.0,44.0,65.0,64.0,23.0,20.0,18.0,1.0,14.0,5.0,66.0,28.0,26.0,50.0,10.0,22.0,25.0,45.0
4045,35.0,1.0,30.0,6.0,11.0,39.0,15.0,8.0,42.0,19.0,25.0,17.0,60.0,22.0,64.0,16.0,2.0,32.0,34.0,23.0,29.0,18.0,0.0,33.0,9.0,31.0,26.0,3.0,44.0,47.0
4094,7.0,20.0,4.0,32.0,27.0,1.0,10.0,5.0,6.0,22.0,8.0,16.0,2.0,47.0,58.0,64.0,48.0,24.0,23.0,26.0,12.0,21.0,0.0,11.0,31.0,33.0,35.0,49.0,28.0,43.0
4143,6.0,5.0,2.0,31.0,24.0,3.0,23.0,14.0,8.0,17.0,20.0,11.0,7.0,10.0,9.0,19.0,47.0,0.0,37.0,16.0,4.0,1.0,26.0,28.0,64.0,52.0,27.0,51.0,15.0,36.0
4192,12.0,4.0,3.0,5.0,19.0,10.0,9.0,0.0,23.0,14.0,7.0,21.0,6.0,8.0,15.0,64.0,57.0,25.0,22.0,26.0,11.0,58.0,27.0,1.0,35.0,32.0,37.0,51.0,2.0,44.0
4241,25.0,4.0,3.0,5.0,20.0,11.0,9.0,0.0,37.0,15.0,13.0,64.0,14.0,6.0,17.0,63.0,24.0,12.0,18.0,22.0,44.0,16.0,28.0,7.0,57.0,32.0,29.0,27.0,66.0,45.0
4290,9.0,7.0,32.0,8.0,3.0,11.0,1.0,0.0,22.0,14.0,45.0,4.0,16.0,6.0,57.0,18.0,47.0,12.0,34.0,13.0,10.0,15.0,66.0,2.0,28.0,33.0,27.0,51.0,17.0,37.0
4339,6.0,14.0,33.0,2.0,16.0,5.0,4.0,3.0,43.0,10.0,19.0,17.0,8.0,1.0,12.0,64.0,39.0,44.0,22.0,24.0,30.0,11.0,25.0,7.0,28.0,0.0,49.0,53.0,66.0,31.0
4388,3.0,7.0,9.0,8.0,17.0,10.0,0.0,2.0,12.0,57.0,22.0,4.0,53.0,14.0,58.0,16.0,42.0,1.0,19.0,21.0,11.0,20.0,24.0,26.0,41.0,50.0,6.0,51.0,66.0,35.0
4437,10.0,0.0,9.0,4.0,7.0,6.0,3.0,33.0,39.0,8.0,2.0,42.0,14.0,36.0,64.0,16.0,44.0,27.0,1.0,60.0,48.0,15.0,13.0,28.0,31.0,21.0,51.0,11.0,45.0,24.0
4486,3.0,6.0,4.0,28.0,7.0,2.0,23.0,9.0,24.0,5.0,42.0,18.0,14.0,43.0,58.0,48.0,45.0,1.0,17.0,51.0,11.0,65.0,10.0,30.0,37.0,53.0,29.0,50.0,26.0,41.0
4535,1.0,2.0,31.0,26.0,23.0,7.0,24.0,28.0,34.0,15.0,9.0,13.0,61.0,12.0,17.0,19.0,39.0,3.0,42.0,60.0,29.0,16.0,66.0,33.0,8.0,56.0,32.0,11.0,5.0,6.0
4584,1.0,3.0,2.0,4.0,42.0,6.0,9.0,5.0,21.0,16.0,36.0,18.0,13.0,41.0,63.0,23.0,12.0,0.0,10.0,14.0,30.0,17.0,66.0,11.0,29.0,56.0,51.0,15.0,35.0,27.0
4633,22.0,0.0,6.0,35.0,9.0,11.0,4.0,32.0,38.0,17.0,43.0,5.0,15.0,36.0,63.0,2.0,14.0,7.0,27.0,60.0,25.0,18.0,66.0,50.0,31.0,21.0,29.0,10.0,1.0,47.0
4682,2.0,8.0,4.0,30.0,9.0,10.0,12.0,3.0,35.0,6.0,34.0,47.0,20.0,23.0,7.0,14.0,13.0,1.0,11.0,21.0,29.0,65.0,0.0,28.0,26.0,51.0,64.0,22.0,66.0,42.0
4731,0.0,11.0,8.0,3.0,30.0,29.0,26.0,23.0,19.0,21.0,33.0,10.0,4.0,41.0,63.0,13.0,6.0,9.0,1.0,59.0,25.0,62.0,22.0,27.0,7.0,55.0,49.0,58.0,43.0,12.0
4780,4.0,12.0,9.0,26.0,23.0,0.0,36.0,29.0,34.0,21.0,16.0,18.0,3.0,40.0,15.0,35.0,13.0,1.0,2.0,58.0,10.0,62.0,22.0,32.0,7.0,31.0,30.0,17.0,43.0,46.0
4829,0.0,2.0,1.0,25.0,22.0,9.0,36.0,10.0,12.0,18.0,40.0,19.0,14.0,16.0,63.0,35.0,17.0,3.0,7.0,59.0,33.0,62.0,66.0,49.0,29.0,31.0,52.0,20.0,43.0,47.0
4878,4.0,1.0,7.0,24.0,8.0,6.0,11.0,5.0,42.0,9.0,39.0,2.0,21.0,16.0,63.0,15.0,13.0,0.0,37.0,60.0,10.0,62.0,3.0,48.0,51.0,31.0,29.0,14.0,43.0,32.0
