,valerylcarnitine,niacinamide,palmitoylcarnitine,creatine,GABA,C36:4 PC-B,malondialdehyde,3-phosphoglycerate,carnitine,1-methylnicotinamide,pyroglutamic acid,asparagine,beta-alanine,adenosine,acetylcholine,C34:2 DAG,dCMP,C34:4 PC,C18:0 LPC,inositol,cytidine,DHAP/glyceraldehyde 3P,2-deoxycytidine,glutamine,C16:0 LPE,serine,C56:3 TAG,butyrylcarnitine/isobutyrylcarnitine,alpha-hydroxybutyrate,NADP
2771,17.0,7.0,13.0,8.0,6.0,1.0,27.0,24.0,30.0,65.0,12.0,15.0,20.0,9.0,59.0,23.0,36.0,14.0,21.0,16.0,45.0,2.0,10.0,0.0,22.0,46.0,4.0,31.0,48.0,11.0
2820,5.0,14.0,8.0,4.0,16.0,12.0,3.0,66.0,0.0,19.0,24.0,49.0,37.0,2.0,59.0,13.0,9.0,11.0,22.0,10.0,32.0,30.0,7.0,34.0,38.0,50.0,26.0,20.0,29.0,47.0
2869,19.0,13.0,6.0,8.0,62.0,24.0,2.0,66.0,9.0,16.0,10.0,49.0,45.0,15.0,4.0,1.0,42.0,23.0,5.0,61.0,28.0,3.0,11.0,51.0,21.0,37.0,27.0,18.0,35.0,33.0
2918,0.0,16.0,3.0,13.0,19.0,6.0,8.0,46.0,40.0,65.0,31.0,2.0,37.0,12.0,14.0,7.0,10.0,5.0,15.0,29.0,11.0,9.0,23.0,22.0,36.0,58.0,25.0,24.0,1.0,54.0
2967,21.0,0.0,22.0,17.0,7.0,13.0,14.0,18.0,4.0,49.0,15.0,2.0,34.0,61.0,16.0,24.0,10.0,12.0,35.0,8.0,11.0,1.0,19.0,20.0,47.0,28.0,27.0,26.0,53.0,32.0
3016,42.0,13.0,19.0,14.0,0.0,8.0,28.0,26.0,24.0,49.0,17.0,6.0,21.0,4.0,59.0,12.0,7.0,15.0,22.0,3.0,43.0,9.0,16.0,41.0,47.0,29.0,2.0,18.0,54.0,31.0
3065,35.0,1.0,11.0,62.0,12.0,26.0,4.0,9.0,40.0,42.0,25.0,57.0,34.0,64.0,19.0,28.0,2.0,13.0,3.0,18.0,48.0,49.0,65.0,58.0,31.0,5.0,66.0,36.0,0.0,27.0
3114,49.0,14.0,6.0,57.0,3.0,20.0,30.0,8.0,9.0,19.0,26.0,5.0,25.0,17.0,4.0,15.0,42.0,22.0,18.0,32.0,2.0,39.0,55.0,29.0,24.0,64.0,28.0,23.0,60.0,65.0
3163,8.0,17.0,37.0,18.0,15.0,33.0,3.0,11.0,5.0,21.0,35.0,55.0,36.0,4.0,63.0,29.0,1.0,9.0,20.0,16.0,49.0,25.0,19.0,56.0,38.0,6.0,66.0,40.0,22.0,0.0
3212,39.0,5.0,33.0,58.0,40.0,15.0,8.0,4.0,23.0,64.0,2.0,22.0,12.0,1.0,19.0,17.0,10.0,41.0,13.0,63.0,27.0,37.0,16.0,21.0,38.0,6.0,31.0,7.0,66.0,50.0
3261,21.0,16.0,41.0,61.0,14.0,20.0,26.0,6.0,5.0,47.0,4.0,1.0,8.0,24.0,17.0,12.0,2.0,7.0,39.0,49.0,35.0,33.0,64.0,19.0,23.0,34.0,25.0,43.0,50.0,62.0
3310,19.0,13.0,14.0,16.0,8.0,1.0,5.0,12.0,2.0,33.0,9.0,10.0,46.0,18.0,15.0,23.0,27.0,22.0,21.0,54.0,26.0,28.0,64.0,57.0,41.0,55.0,66.0,45.0,7.0,34.0
3359,13.0,6.0,35.0,19.0,3.0,21.0,27.0,9.0,12.0,48.0,8.0,34.0,2.0,17.0,20.0,22.0,1.0,18.0,16.0,53.0,28.0,30.0,62.0,50.0,40.0,49.0,25.0,14.0,54.0,47.0
3408,9.0,19.0,10.0,60.0,21.0,3.0,8.0,22.0,6.0,11.0,0.0,50.0,39.0,4.0,2.0,17.0,26.0,34.0,13.0,48.0,27.0,42.0,15.0,51.0,46.0,49.0,23.0,44.0,47.0,5.0
3457,6.0,1.0,7.0,18.0,14.0,30.0,4.0,45.0,20.0,24.0,23.0,11.0,21.0,63.0,61.0,8.0,26.0,37.0,35.0,55.0,25.0,0.0,47.0,56.0,40.0,2.0,66.0,19.0,15.0,3.0
3506,7.0,11.0,0.0,14.0,5.0,6.0,8.0,22.0,19.0,31.0,29.0,20.0,16.0,64.0,21.0,41.0,27.0,38.0,46.0,23.0,26.0,9.0,56.0,2.0,34.0,12.0,66.0,18.0,59.0,30.0
3555,6.0,10.0,5.0,13.0,1.0,11.0,19.0,43.0,14.0,42.0,18.0,4.0,21.0,45.0,12.0,34.0,0.0,33.0,41.0,58.0,49.0,50.0,22.0,59.0,28.0,2.0,66.0,15.0,31.0,29.0
3604,4.0,2.0,21.0,1.0,3.0,11.0,27.0,0.0,37.0,18.0,17.0,57.0,26.0,55.0,19.0,42.0,33.0,22.0,25.0,28.0,50.0,32.0,29.0,58.0,34.0,5.0,66.0,40.0,10.0,24.0
3653,7.0,12.0,28.0,0.0,62.0,2.0,8.0,3.0,15.0,10.0,19.0,18.0,5.0,23.0,21.0,13.0,11.0,9.0,40.0,22.0,26.0,27.0,38.0,17.0,35.0,20.0,66.0,16.0,57.0,29.0
3702,23.0,10.0,22.0,11.0,14.0,28.0,20.0,42.0,8.0,36.0,9.0,0.0,31.0,33.0,43.0,25.0,47.0,12.0,30.0,21.0,46.0,1.0,19.0,18.0,32.0,4.0,2.0,16.0,26.0,27.0
3751,3.0,23.0,0.0,10.0,18.0,28.0,7.0,38.0,30.0,2.0,11.0,13.0,15.0,27.0,17.0,29.0,32.0,9.0,39.0,58.0,33.0,6.0,31.0,59.0,19.0,12.0,66.0,37.0,65.0,1.0
3800,10.0,15.0,40.0,12.0,13.0,0.0,7.0,23.0,20.0,9.0,1.0,17.0,42.0,19.0,63.0,5.0,11.0,3.0,22.0,32.0,49.0,34.0,47.0,56.0,43.0,21.0,66.0,44.0,55.0,27.0
3849,15.0,10.0,1.0,8.0,58.0,2.0,4.0,46.0,17.0,18.0,30.0,5.0,3.0,63.0,61.0,40.0,24.0,45.0,36.0,0.0,23.0,25.0,47.0,54.0,14.0,16.0,19.0,9.0,20.0,31.0
3898,13.0,18.0,21.0,0.0,60.0,8.0,4.0,41.0,11.0,22.0,40.0,14.0,15.0,23.0,20.0,2.0,7.0,9.0,37.0,54.0,46.0,1.0,26.0,55.0,16.0,10.0,66.0,17.0,53.0,3.0
3947,8.0,15.0,1.0,3.0,20.0,5.0,7.0,14.0,18.0,21.0,31.0,65.0,13.0,19.0,17.0,32.0,0.0,35.0,12.0,56.0,4.0,25.0,46.0,11.0,44.0,9.0,66.0,6.0,22.0,30.0
3996,14.0,7.0,37.0,3.0,60.0,2.0,8.0,10.0,18.0,31.0,65.0,57.0,9.0,17.0,15.0,32.0,1.0,4.0,39.0,21.0,25.0,26.0,19.0,6.0,11.0,56.0,66.0,41.0,22.0,35.0
4045,4.0,17.0,5.0,14.0,20.0,12.0,30.0,1.0,16.0,2.0,43.0,23.0,24.0,46.0,15.0,27.0,0.0,29.0,40.0,26.0,21.0,11.0,34.0,25.0,7.0,58.0,66.0,18.0,9.0,28.0
4094,3.0,9.0,2.0,4.0,55.0,6.0,16.0,5.0,11.0,12.0,65.0,49.0,1.0,20.0,59.0,40.0,35.0,19.0,34.0,21.0,0.0,29.0,64.0,50.0,17.0,48.0,66.0,14.0,47.0,45.0
4143,2.0,6.0,17.0,11.0,15.0,3.0,21.0,0.0,1.0,7.0,12.0,57.0,19.0,16.0,45.0,4.0,9.0,28.0,38.0,56.0,10.0,8.0,22.0,58.0,25.0,20.0,66.0,39.0,30.0,23.0
4192,12.0,5.0,2.0,6.0,21.0,0.0,1.0,8.0,13.0,56.0,23.0,14.0,39.0,62.0,18.0,11.0,9.0,10.0,38.0,28.0,29.0,31.0,7.0,50.0,15.0,47.0,24.0,44.0,49.0,64.0
4241,12.0,8.0,7.0,0.0,21.0,11.0,9.0,16.0,15.0,22.0,5.0,57.0,14.0,20.0,45.0,29.0,4.0,31.0,30.0,56.0,3.0,27.0,35.0,58.0,32.0,13.0,66.0,37.0,1.0,10.0
4290,20.0,0.0,12.0,2.0,7.0,6.0,14.0,13.0,33.0,36.0,18.0,58.0,1.0,44.0,3.0,37.0,5.0,28.0,40.0,17.0,26.0,47.0,42.0,59.0,10.0,15.0,66.0,32.0,21.0,52.0
4339,23.0,20.0,6.0,2.0,54.0,10.0,5.0,1.0,34.0,16.0,47.0,0.0,12.0,17.0,18.0,11.0,9.0,15.0,45.0,8.0,28.0,38.0,64.0,50.0,14.0,33.0,24.0,35.0,31.0,4.0
4388,0.0,6.0,7.0,4.0,60.0,10.0,29.0,2.0,17.0,3.0,8.0,55.0,25.0,64.0,63.0,14.0,19.0,41.0,38.0,26.0,13.0,1.0,65.0,56.0,24.0,54.0,66.0,35.0,32.0,11.0
4437,34.0,21.0,6.0,26.0,2.0,4.0,8.0,0.0,1.0,32.0,17.0,7.0,12.0,64.0,44.0,27.0,10.0,5.0,13.0,3.0,25.0,54.0,11.0,16.0,43.0,18.0,9.0,33.0,22.0,31.0
4486,17.0,14.0,41.0,12.0,60.0,27.0,21.0,23.0,5.0,0.0,20.0,56.0,38.0,6.0,15.0,26.0,10.0,4.0,8.0,65.0,11.0,9.0,54.0,19.0,30.0,2.0,66.0,16.0,29.0,31.0
4535,7.0,17.0,34.0,4.0,5.0,13.0,8.0,3.0,0.0,18.0,14.0,25.0,40.0,26.0,15.0,24.0,19.0,23.0,30.0,32.0,1.0,11.0,54.0,22.0,41.0,59.0,66.0,20.0,58.0,27.0
4584,3.0,10.0,2.0,0.0,9.0,8.0,5.0,21.0,14.0,16.0,18.0,6.0,13.0,33.0,64.0,29.0,26.0,41.0,20.0,19.0,25.0,27.0,28.0,56.0,37.0,17.0,66.0,12.0,55.0,50.0
4633,17.0,3.0,2.0,1.0,12.0,22.0,28.0,16.0,24.0,15.0,14.0,29.0,19.0,13.0,8.0,23.0,5.0,21.0,20.0,30.0,34.0,6.0,62.0,25.0,47.0,27.0,26.0,10.0,53.0,31.0
4682,20.0,10.0,22.0,1.0,14.0,36.0,5.0,8.0,16.0,3.0,21.0,60.0,42.0,24.0,2.0,37.0,27.0,6.0,39.0,58.0,11.0,9.0,54.0,18.0,41.0,59.0,66.0,19.0,57.0,4.0
4731,6.0,18.0,0.0,1.0,12.0,2.0,4.0,22.0,11.0,9.0,38.0,58.0,7.0,28.0,20.0,29.0,27.0,41.0,42.0,14.0,26.0,8.0,54.0,17.0,37.0,57.0,66.0,15.0,56.0,50.0
4780,9.0,0.0,8.0,1.0,7.0,42.0,3.0,13.0,16.0,15.0,2.0,4.0,18.0,12.0,11.0,20.0,28.0,43.0,6.0,22.0,27.0,29.0,14.0,47.0,46.0,41.0,35.0,17.0,32.0,33.0
4829,5.0,18.0,14.0,20.0,9.0,13.0,22.0,2.0,8.0,0.0,17.0,4.0,41.0,23.0,19.0,10.0,46.0,31.0,3.0,15.0,32.0,11.0,36.0,58.0,26.0,21.0,66.0,16.0,57.0,50.0
4878,9.0,6.0,20.0,19.0,15.0,10.0,16.0,14.0,17.0,3.0,23.0,12.0,13.0,64.0,4.0,38.0,1.0,37.0,7.0,0.0,5.0,25.0,54.0,65.0,32.0,11.0,66.0,21.0,55.0,29.0
