,inositol,alpha-glycerophosphate,cytidine,C34:4 PC,DHAP/glyceraldehyde 3P,C18:0 LPC,serotonin,oxalate,pantothenate,phosphocreatine,GABA,cystathionine,niacinamide,isocitrate,taurodeoxycholate,C16:0 LPE,alpha-hydroxybutyrate,cis/trans-hydroxyproline,creatine,C56:5 TAG,alpha-glycerophosphocholine,carnitine,C36:4 PC-B,acetylcholine,creatinine,serine,leucine,homocysteine,adenosine,beta-alanine
709,3.0,0.0,8.0,5.0,10.0,13.0,2.0,6.0,1.0,14.0,7.0,15.0,20.0,12.0,9.0,16.0,11.0,32.0,24.0,29.0,28.0,21.0,23.0,38.0,22.0,4.0,34.0,17.0,42.0,30.0
758,1.0,5.0,9.0,4.0,8.0,10.0,7.0,16.0,2.0,14.0,3.0,12.0,20.0,15.0,32.0,22.0,6.0,17.0,24.0,11.0,40.0,23.0,13.0,39.0,27.0,0.0,44.0,25.0,35.0,19.0
807,1.0,3.0,5.0,26.0,4.0,9.0,0.0,2.0,8.0,7.0,24.0,11.0,15.0,17.0,18.0,12.0,6.0,30.0,13.0,33.0,31.0,21.0,29.0,10.0,35.0,16.0,36.0,14.0,27.0,51.0
856,5.0,1.0,8.0,12.0,11.0,4.0,0.0,6.0,3.0,7.0,15.0,10.0,16.0,13.0,19.0,24.0,9.0,26.0,27.0,20.0,34.0,18.0,32.0,38.0,17.0,2.0,37.0,21.0,36.0,41.0
905,9.0,2.0,13.0,8.0,0.0,11.0,1.0,10.0,7.0,6.0,18.0,4.0,19.0,12.0,17.0,22.0,3.0,20.0,25.0,21.0,38.0,15.0,23.0,47.0,16.0,5.0,45.0,14.0,48.0,28.0
954,0.0,2.0,9.0,5.0,11.0,18.0,1.0,8.0,3.0,20.0,6.0,21.0,13.0,4.0,22.0,10.0,17.0,29.0,14.0,24.0,47.0,12.0,25.0,34.0,16.0,28.0,39.0,19.0,42.0,33.0
1003,1.0,2.0,3.0,8.0,4.0,0.0,18.0,22.0,34.0,6.0,10.0,19.0,7.0,16.0,11.0,21.0,5.0,26.0,12.0,13.0,31.0,30.0,17.0,20.0,9.0,15.0,25.0,44.0,33.0,35.0
1052,0.0,1.0,2.0,4.0,6.0,3.0,10.0,34.0,26.0,17.0,5.0,19.0,7.0,16.0,21.0,18.0,13.0,14.0,11.0,8.0,47.0,31.0,20.0,44.0,15.0,28.0,9.0,24.0,12.0,30.0
1101,0.0,2.0,1.0,6.0,3.0,4.0,30.0,7.0,19.0,9.0,31.0,27.0,21.0,12.0,23.0,14.0,5.0,15.0,11.0,10.0,41.0,25.0,37.0,50.0,8.0,13.0,16.0,40.0,28.0,51.0
1150,2.0,0.0,1.0,8.0,4.0,3.0,30.0,31.0,12.0,9.0,10.0,7.0,5.0,23.0,20.0,38.0,6.0,19.0,17.0,13.0,37.0,33.0,40.0,18.0,14.0,25.0,16.0,26.0,15.0,24.0
1199,0.0,1.0,2.0,4.0,10.0,7.0,6.0,22.0,26.0,5.0,45.0,9.0,12.0,3.0,11.0,24.0,8.0,15.0,14.0,20.0,21.0,18.0,16.0,31.0,13.0,36.0,19.0,27.0,32.0,37.0
1248,1.0,0.0,3.0,7.0,4.0,5.0,15.0,8.0,13.0,27.0,2.0,10.0,6.0,16.0,17.0,14.0,12.0,22.0,9.0,20.0,29.0,19.0,18.0,24.0,25.0,34.0,11.0,28.0,37.0,23.0
1297,0.0,1.0,2.0,3.0,15.0,4.0,13.0,11.0,26.0,18.0,20.0,6.0,5.0,24.0,14.0,16.0,9.0,27.0,7.0,33.0,42.0,31.0,12.0,21.0,22.0,10.0,19.0,39.0,32.0,35.0
1346,0.0,1.0,4.0,13.0,11.0,2.0,10.0,28.0,43.0,7.0,3.0,18.0,16.0,31.0,6.0,9.0,21.0,12.0,15.0,19.0,37.0,22.0,26.0,17.0,27.0,5.0,33.0,25.0,14.0,20.0
1395,0.0,1.0,3.0,2.0,11.0,6.0,4.0,38.0,22.0,7.0,9.0,5.0,20.0,8.0,19.0,17.0,13.0,32.0,16.0,10.0,27.0,21.0,24.0,41.0,12.0,37.0,35.0,31.0,15.0,26.0
1444,4.0,0.0,3.0,26.0,11.0,1.0,21.0,33.0,24.0,10.0,29.0,5.0,16.0,6.0,19.0,25.0,2.0,23.0,14.0,22.0,8.0,40.0,35.0,9.0,20.0,28.0,13.0,38.0,12.0,39.0
1493,5.0,9.0,6.0,8.0,18.0,12.0,7.0,16.0,1.0,21.0,4.0,10.0,19.0,2.0,22.0,14.0,40.0,36.0,34.0,11.0,0.0,28.0,24.0,3.0,17.0,41.0,26.0,27.0,13.0,15.0
1542,5.0,4.0,3.0,34.0,0.0,16.0,1.0,9.0,2.0,27.0,24.0,15.0,25.0,20.0,23.0,14.0,31.0,26.0,37.0,7.0,6.0,47.0,19.0,13.0,32.0,11.0,22.0,10.0,18.0,8.0
1591,0.0,1.0,3.0,4.0,5.0,8.0,12.0,7.0,2.0,16.0,17.0,25.0,11.0,10.0,13.0,6.0,9.0,37.0,22.0,26.0,15.0,24.0,14.0,21.0,28.0,20.0,18.0,38.0,23.0,19.0
1640,1.0,28.0,4.0,5.0,9.0,31.0,2.0,8.0,0.0,43.0,6.0,23.0,12.0,13.0,38.0,25.0,29.0,3.0,33.0,10.0,21.0,35.0,11.0,17.0,19.0,14.0,27.0,7.0,34.0,16.0
1689,0.0,5.0,7.0,9.0,6.0,19.0,1.0,8.0,2.0,11.0,3.0,10.0,21.0,4.0,23.0,18.0,16.0,32.0,17.0,24.0,25.0,37.0,15.0,13.0,30.0,26.0,34.0,50.0,31.0,27.0
1738,0.0,8.0,2.0,10.0,3.0,24.0,7.0,4.0,1.0,11.0,5.0,25.0,6.0,14.0,31.0,16.0,20.0,17.0,32.0,19.0,21.0,39.0,12.0,9.0,15.0,18.0,23.0,13.0,26.0,42.0
1787,0.0,10.0,5.0,4.0,2.0,8.0,20.0,3.0,6.0,23.0,18.0,1.0,27.0,26.0,16.0,12.0,17.0,28.0,13.0,14.0,11.0,31.0,7.0,21.0,33.0,22.0,15.0,36.0,24.0,29.0
1836,0.0,12.0,1.0,5.0,14.0,18.0,2.0,19.0,7.0,6.0,8.0,9.0,20.0,17.0,42.0,13.0,27.0,21.0,35.0,3.0,24.0,37.0,22.0,11.0,32.0,38.0,16.0,30.0,15.0,25.0
1885,4.0,1.0,3.0,18.0,20.0,7.0,9.0,2.0,0.0,12.0,13.0,6.0,14.0,5.0,41.0,17.0,30.0,15.0,23.0,8.0,22.0,21.0,33.0,19.0,35.0,25.0,11.0,24.0,16.0,46.0
1934,3.0,2.0,4.0,8.0,9.0,5.0,1.0,13.0,11.0,21.0,12.0,23.0,17.0,6.0,15.0,42.0,24.0,0.0,43.0,7.0,30.0,29.0,10.0,22.0,19.0,54.0,31.0,27.0,16.0,32.0
1983,1.0,20.0,0.0,3.0,2.0,17.0,16.0,7.0,8.0,14.0,10.0,31.0,19.0,15.0,32.0,12.0,18.0,5.0,11.0,44.0,6.0,21.0,40.0,9.0,26.0,42.0,13.0,41.0,25.0,4.0
2032,3.0,20.0,0.0,1.0,2.0,6.0,30.0,8.0,9.0,25.0,11.0,21.0,18.0,22.0,38.0,17.0,24.0,4.0,14.0,27.0,5.0,12.0,23.0,32.0,15.0,33.0,10.0,28.0,19.0,7.0
2081,1.0,12.0,2.0,0.0,3.0,13.0,35.0,17.0,8.0,36.0,14.0,27.0,15.0,31.0,29.0,21.0,43.0,4.0,9.0,34.0,7.0,18.0,11.0,23.0,20.0,28.0,19.0,41.0,33.0,6.0
2130,3.0,12.0,0.0,4.0,2.0,7.0,15.0,13.0,1.0,11.0,16.0,6.0,21.0,23.0,34.0,19.0,20.0,5.0,17.0,42.0,18.0,26.0,27.0,33.0,14.0,38.0,8.0,32.0,31.0,22.0
2179,1.0,8.0,0.0,2.0,9.0,10.0,40.0,5.0,20.0,23.0,35.0,3.0,19.0,18.0,24.0,17.0,32.0,7.0,14.0,36.0,11.0,12.0,25.0,39.0,15.0,28.0,6.0,22.0,37.0,34.0
2228,0.0,21.0,1.0,3.0,9.0,5.0,26.0,11.0,7.0,32.0,15.0,10.0,13.0,12.0,17.0,29.0,19.0,4.0,8.0,38.0,2.0,28.0,30.0,34.0,20.0,42.0,14.0,18.0,45.0,6.0
2277,0.0,11.0,2.0,1.0,5.0,3.0,39.0,9.0,4.0,21.0,26.0,12.0,27.0,18.0,23.0,10.0,25.0,6.0,13.0,43.0,8.0,15.0,41.0,31.0,19.0,40.0,14.0,29.0,20.0,7.0
2326,1.0,14.0,0.0,4.0,3.0,12.0,5.0,15.0,2.0,25.0,17.0,34.0,24.0,11.0,26.0,13.0,16.0,7.0,9.0,20.0,6.0,18.0,27.0,28.0,10.0,45.0,8.0,30.0,32.0,22.0
2375,1.0,5.0,2.0,3.0,12.0,6.0,22.0,10.0,7.0,21.0,14.0,15.0,23.0,16.0,26.0,17.0,32.0,0.0,19.0,50.0,4.0,9.0,11.0,29.0,31.0,39.0,18.0,24.0,20.0,30.0
2424,0.0,25.0,1.0,2.0,12.0,8.0,31.0,23.0,17.0,7.0,14.0,10.0,13.0,32.0,15.0,27.0,16.0,3.0,9.0,36.0,21.0,37.0,29.0,44.0,24.0,41.0,6.0,22.0,28.0,11.0
2473,2.0,5.0,0.0,22.0,8.0,7.0,44.0,6.0,12.0,28.0,3.0,4.0,1.0,33.0,17.0,18.0,11.0,26.0,15.0,42.0,13.0,39.0,34.0,14.0,23.0,21.0,19.0,24.0,9.0,30.0
2522,1.0,0.0,2.0,15.0,18.0,7.0,23.0,5.0,11.0,35.0,4.0,19.0,3.0,6.0,9.0,14.0,10.0,32.0,17.0,33.0,27.0,41.0,8.0,12.0,34.0,39.0,16.0,21.0,28.0,13.0
2571,6.0,0.0,1.0,13.0,2.0,3.0,8.0,23.0,14.0,16.0,12.0,29.0,4.0,9.0,5.0,11.0,18.0,34.0,30.0,25.0,22.0,20.0,28.0,7.0,15.0,31.0,48.0,21.0,10.0,26.0
2620,0.0,1.0,4.0,6.0,11.0,5.0,20.0,12.0,7.0,13.0,3.0,8.0,2.0,10.0,9.0,23.0,27.0,31.0,15.0,42.0,35.0,18.0,16.0,25.0,22.0,19.0,32.0,24.0,14.0,33.0
2669,0.0,4.0,1.0,26.0,11.0,5.0,9.0,17.0,19.0,7.0,10.0,12.0,3.0,18.0,2.0,8.0,31.0,15.0,23.0,24.0,25.0,36.0,6.0,21.0,33.0,32.0,49.0,27.0,16.0,22.0
2718,5.0,1.0,0.0,14.0,8.0,6.0,35.0,9.0,3.0,15.0,13.0,21.0,7.0,17.0,2.0,24.0,10.0,12.0,19.0,37.0,18.0,23.0,22.0,4.0,25.0,20.0,31.0,16.0,34.0,33.0
2767,8.0,0.0,1.0,19.0,4.0,6.0,15.0,7.0,17.0,10.0,13.0,34.0,2.0,5.0,9.0,36.0,26.0,11.0,16.0,24.0,12.0,42.0,21.0,3.0,28.0,25.0,32.0,14.0,35.0,38.0
2816,3.0,1.0,6.0,29.0,8.0,0.0,10.0,4.0,2.0,16.0,23.0,13.0,5.0,22.0,12.0,7.0,15.0,17.0,19.0,28.0,36.0,46.0,11.0,9.0,26.0,21.0,45.0,38.0,30.0,20.0
2865,4.0,0.0,3.0,19.0,5.0,2.0,16.0,9.0,8.0,29.0,13.0,15.0,1.0,7.0,18.0,11.0,6.0,12.0,31.0,43.0,21.0,35.0,28.0,14.0,22.0,24.0,20.0,17.0,30.0,23.0
2914,11.0,1.0,0.0,8.0,9.0,5.0,10.0,12.0,6.0,31.0,14.0,16.0,3.0,7.0,2.0,19.0,17.0,23.0,22.0,18.0,24.0,37.0,20.0,27.0,28.0,25.0,26.0,38.0,13.0,4.0
2963,4.0,7.0,6.0,13.0,9.0,11.0,3.0,31.0,34.0,8.0,28.0,2.0,20.0,14.0,1.0,10.0,23.0,32.0,12.0,19.0,0.0,17.0,33.0,5.0,22.0,25.0,29.0,15.0,18.0,43.0
3012,2.0,1.0,7.0,5.0,23.0,10.0,21.0,30.0,17.0,8.0,19.0,3.0,0.0,27.0,6.0,22.0,18.0,25.0,28.0,13.0,4.0,36.0,14.0,12.0,16.0,11.0,9.0,34.0,41.0,29.0
3061,4.0,0.0,7.0,6.0,3.0,5.0,8.0,18.0,11.0,1.0,21.0,12.0,19.0,26.0,2.0,9.0,14.0,16.0,10.0,23.0,15.0,25.0,27.0,13.0,22.0,28.0,32.0,34.0,41.0,36.0
3110,1.0,0.0,10.0,3.0,16.0,17.0,8.0,26.0,9.0,6.0,11.0,7.0,18.0,15.0,5.0,12.0,33.0,13.0,35.0,20.0,4.0,24.0,14.0,2.0,25.0,28.0,19.0,22.0,39.0,31.0
3159,3.0,0.0,11.0,1.0,15.0,9.0,13.0,20.0,30.0,7.0,16.0,8.0,5.0,33.0,6.0,4.0,28.0,18.0,17.0,29.0,19.0,35.0,12.0,2.0,27.0,14.0,26.0,23.0,21.0,32.0
3208,10.0,0.0,4.0,21.0,14.0,7.0,11.0,32.0,19.0,2.0,6.0,5.0,9.0,27.0,3.0,13.0,23.0,20.0,15.0,8.0,16.0,36.0,29.0,1.0,18.0,28.0,24.0,12.0,30.0,22.0
3257,5.0,1.0,2.0,0.0,9.0,13.0,3.0,27.0,19.0,4.0,14.0,7.0,10.0,21.0,12.0,6.0,22.0,30.0,41.0,8.0,18.0,31.0,26.0,20.0,33.0,37.0,25.0,23.0,16.0,34.0
3306,5.0,6.0,7.0,2.0,22.0,9.0,3.0,37.0,16.0,0.0,4.0,8.0,12.0,20.0,1.0,27.0,32.0,29.0,21.0,13.0,39.0,26.0,10.0,11.0,18.0,33.0,19.0,35.0,15.0,36.0
3355,12.0,0.0,2.0,10.0,5.0,6.0,21.0,27.0,17.0,1.0,11.0,13.0,7.0,16.0,4.0,28.0,24.0,15.0,14.0,9.0,8.0,25.0,23.0,3.0,22.0,32.0,30.0,20.0,45.0,42.0
3404,1.0,3.0,4.0,12.0,25.0,11.0,7.0,24.0,16.0,5.0,13.0,18.0,2.0,17.0,8.0,15.0,27.0,26.0,28.0,9.0,6.0,31.0,21.0,0.0,19.0,33.0,39.0,14.0,23.0,34.0
3453,4.0,5.0,3.0,2.0,1.0,21.0,8.0,0.0,15.0,7.0,12.0,38.0,14.0,22.0,11.0,25.0,17.0,16.0,9.0,37.0,20.0,10.0,6.0,35.0,19.0,28.0,29.0,33.0,49.0,26.0
3502,2.0,11.0,0.0,3.0,1.0,6.0,9.0,8.0,17.0,24.0,16.0,18.0,5.0,13.0,25.0,20.0,10.0,7.0,14.0,12.0,23.0,19.0,4.0,30.0,34.0,32.0,35.0,59.0,22.0,15.0
3551,4.0,5.0,2.0,8.0,0.0,6.0,1.0,13.0,10.0,12.0,3.0,27.0,15.0,11.0,17.0,29.0,26.0,19.0,16.0,21.0,18.0,9.0,7.0,22.0,33.0,14.0,25.0,24.0,20.0,52.0
3600,2.0,6.0,5.0,4.0,1.0,14.0,11.0,0.0,28.0,3.0,18.0,22.0,7.0,9.0,12.0,32.0,8.0,17.0,15.0,31.0,36.0,21.0,10.0,16.0,13.0,25.0,24.0,46.0,47.0,43.0
3649,2.0,6.0,1.0,4.0,0.0,10.0,3.0,8.0,5.0,24.0,19.0,20.0,9.0,27.0,12.0,34.0,13.0,15.0,7.0,28.0,35.0,11.0,16.0,21.0,32.0,29.0,25.0,39.0,45.0,31.0
3698,3.0,7.0,1.0,5.0,0.0,2.0,11.0,4.0,13.0,10.0,17.0,6.0,9.0,26.0,8.0,35.0,16.0,12.0,20.0,39.0,22.0,27.0,18.0,24.0,21.0,45.0,23.0,14.0,40.0,19.0
3747,0.0,10.0,1.0,4.0,2.0,6.0,3.0,16.0,11.0,27.0,32.0,15.0,5.0,12.0,7.0,25.0,18.0,21.0,9.0,20.0,17.0,8.0,19.0,14.0,22.0,30.0,42.0,34.0,31.0,43.0
3796,15.0,6.0,3.0,1.0,0.0,5.0,2.0,21.0,24.0,8.0,9.0,20.0,4.0,18.0,7.0,12.0,30.0,16.0,11.0,31.0,19.0,27.0,10.0,14.0,13.0,36.0,17.0,48.0,37.0,22.0
3845,4.0,13.0,5.0,6.0,1.0,18.0,3.0,7.0,15.0,12.0,17.0,16.0,10.0,24.0,11.0,30.0,21.0,9.0,2.0,45.0,22.0,25.0,8.0,31.0,34.0,0.0,37.0,43.0,42.0,14.0
3894,0.0,7.0,12.0,8.0,1.0,5.0,2.0,13.0,24.0,3.0,6.0,20.0,11.0,10.0,4.0,33.0,14.0,9.0,16.0,21.0,18.0,15.0,17.0,47.0,19.0,53.0,23.0,43.0,55.0,42.0
3943,0.0,2.0,9.0,5.0,8.0,21.0,11.0,1.0,13.0,6.0,4.0,36.0,22.0,32.0,17.0,16.0,34.0,14.0,7.0,27.0,29.0,3.0,31.0,20.0,26.0,10.0,39.0,15.0,12.0,18.0
3992,0.0,16.0,1.0,4.0,8.0,6.0,12.0,9.0,5.0,11.0,2.0,3.0,15.0,21.0,27.0,33.0,22.0,13.0,20.0,7.0,14.0,19.0,26.0,23.0,37.0,18.0,32.0,41.0,10.0,25.0
4041,11.0,2.0,0.0,9.0,14.0,4.0,1.0,5.0,20.0,10.0,12.0,6.0,44.0,22.0,19.0,35.0,17.0,15.0,21.0,43.0,8.0,3.0,38.0,13.0,25.0,7.0,34.0,32.0,26.0,31.0
4090,12.0,3.0,18.0,0.0,13.0,8.0,5.0,2.0,4.0,9.0,6.0,10.0,26.0,22.0,14.0,25.0,21.0,7.0,16.0,11.0,1.0,20.0,29.0,27.0,33.0,24.0,39.0,42.0,31.0,28.0
4139,1.0,3.0,2.0,9.0,4.0,5.0,15.0,7.0,6.0,8.0,0.0,11.0,16.0,13.0,18.0,14.0,23.0,25.0,19.0,22.0,10.0,27.0,32.0,26.0,30.0,12.0,35.0,21.0,24.0,20.0
4188,6.0,8.0,1.0,7.0,10.0,0.0,20.0,3.0,15.0,13.0,2.0,4.0,14.0,12.0,23.0,34.0,21.0,11.0,26.0,5.0,17.0,28.0,30.0,24.0,37.0,16.0,50.0,18.0,9.0,33.0
4237,5.0,4.0,3.0,7.0,11.0,0.0,2.0,6.0,12.0,8.0,1.0,14.0,17.0,24.0,10.0,31.0,29.0,28.0,15.0,25.0,21.0,20.0,33.0,19.0,18.0,16.0,37.0,9.0,26.0,13.0
4286,4.0,0.0,3.0,11.0,5.0,9.0,2.0,7.0,10.0,16.0,1.0,15.0,8.0,31.0,14.0,24.0,36.0,18.0,20.0,17.0,6.0,21.0,25.0,29.0,35.0,19.0,26.0,28.0,32.0,13.0
4335,5.0,7.0,2.0,0.0,16.0,4.0,9.0,1.0,8.0,10.0,3.0,13.0,15.0,23.0,17.0,42.0,24.0,27.0,19.0,11.0,25.0,20.0,30.0,32.0,29.0,6.0,36.0,21.0,12.0,22.0
4384,3.0,16.0,2.0,1.0,10.0,5.0,7.0,4.0,12.0,14.0,0.0,6.0,35.0,17.0,20.0,22.0,42.0,9.0,19.0,21.0,15.0,11.0,24.0,25.0,31.0,8.0,41.0,30.0,18.0,27.0
4433,0.0,1.0,2.0,16.0,6.0,21.0,4.0,12.0,17.0,14.0,24.0,3.0,13.0,5.0,20.0,7.0,11.0,46.0,26.0,15.0,10.0,22.0,28.0,45.0,43.0,19.0,8.0,30.0,29.0,49.0
4482,1.0,0.0,4.0,21.0,3.0,5.0,7.0,11.0,20.0,28.0,10.0,24.0,25.0,6.0,8.0,2.0,19.0,32.0,27.0,14.0,15.0,12.0,41.0,9.0,35.0,31.0,16.0,42.0,17.0,23.0
4531,0.0,1.0,3.0,8.0,2.0,4.0,6.0,11.0,21.0,10.0,32.0,5.0,26.0,7.0,29.0,16.0,9.0,19.0,41.0,12.0,17.0,40.0,14.0,20.0,30.0,23.0,13.0,28.0,22.0,24.0
4580,1.0,0.0,3.0,27.0,10.0,6.0,7.0,18.0,20.0,15.0,28.0,2.0,36.0,5.0,12.0,23.0,26.0,30.0,40.0,4.0,11.0,21.0,8.0,14.0,19.0,13.0,9.0,32.0,17.0,24.0
4629,0.0,1.0,3.0,28.0,2.0,11.0,5.0,17.0,33.0,15.0,24.0,8.0,12.0,6.0,26.0,25.0,14.0,21.0,22.0,10.0,4.0,32.0,19.0,23.0,29.0,18.0,7.0,16.0,44.0,30.0
4678,1.0,5.0,7.0,25.0,0.0,6.0,4.0,11.0,17.0,9.0,22.0,3.0,14.0,13.0,18.0,8.0,27.0,48.0,29.0,2.0,23.0,20.0,26.0,38.0,24.0,12.0,19.0,34.0,30.0,15.0
4727,0.0,2.0,1.0,21.0,6.0,28.0,5.0,9.0,12.0,32.0,41.0,3.0,23.0,7.0,20.0,8.0,25.0,29.0,47.0,14.0,17.0,10.0,22.0,18.0,19.0,15.0,13.0,27.0,43.0,26.0
4776,2.0,0.0,4.0,6.0,1.0,11.0,9.0,18.0,10.0,27.0,43.0,13.0,35.0,7.0,17.0,15.0,14.0,22.0,25.0,21.0,12.0,16.0,5.0,23.0,29.0,32.0,20.0,39.0,41.0,8.0
4825,1.0,2.0,3.0,10.0,0.0,13.0,5.0,8.0,11.0,17.0,28.0,6.0,16.0,4.0,15.0,18.0,21.0,30.0,40.0,7.0,12.0,22.0,14.0,35.0,29.0,26.0,20.0,31.0,27.0,9.0
4874,0.0,4.0,2.0,15.0,5.0,6.0,7.0,12.0,37.0,19.0,23.0,1.0,8.0,3.0,14.0,20.0,10.0,38.0,21.0,9.0,13.0,11.0,26.0,25.0,29.0,31.0,17.0,28.0,44.0,24.0
