,VAV1,YAP_pS127,alpha-Catenin,beta-Catenin,Stathmin,Chk1,Fibronectin,C-Raf(BD610151),CD49b,A-Raf_pS299,Rb,p62 Lck ligand,MSH6,VEGFR2,Src_pY416,4E-BP1,Lck,Akt_pS473,C-Raf(MP05-739),Src,ADAR1,Claudin-7,MDMX_MDM4(BetIHC-00108),Syk,NDRG1_pT346,EGFR,Porin,PAI-1,Caspase-7_cleavedD198,4E-BP1_pT37_T46
1866,0.0,1.0,3.0,11.0,9.0,5.0,8.0,4.0,7.0,19.0,22.0,14.0,13.0,6.0,61.0,45.0,2.0,24.0,23.0,15.0,94.0,28.0,18.0,34.0,40.0,39.0,46.0,26.0,17.0,67.0
1915,0.0,1.0,2.0,12.0,3.0,10.0,8.0,14.0,6.0,54.0,17.0,5.0,19.0,7.0,33.0,31.0,16.0,11.0,52.0,9.0,142.0,44.0,4.0,25.0,40.0,15.0,101.0,18.0,24.0,21.0
1964,0.0,1.0,2.0,4.0,3.0,5.0,10.0,11.0,9.0,8.0,48.0,6.0,31.0,37.0,21.0,14.0,19.0,41.0,67.0,7.0,38.0,60.0,15.0,16.0,35.0,27.0,30.0,20.0,24.0,23.0
2013,0.0,1.0,3.0,2.0,5.0,13.0,9.0,8.0,26.0,34.0,30.0,35.0,19.0,10.0,7.0,4.0,32.0,40.0,18.0,67.0,15.0,24.0,16.0,25.0,27.0,33.0,23.0,68.0,12.0,76.0
2062,0.0,1.0,6.0,7.0,3.0,41.0,4.0,16.0,5.0,8.0,39.0,25.0,18.0,32.0,9.0,68.0,49.0,19.0,64.0,57.0,21.0,10.0,11.0,15.0,17.0,124.0,33.0,59.0,2.0,54.0
2111,0.0,1.0,2.0,10.0,11.0,7.0,22.0,5.0,4.0,12.0,13.0,8.0,28.0,16.0,6.0,31.0,47.0,24.0,9.0,15.0,19.0,43.0,26.0,29.0,17.0,30.0,3.0,53.0,14.0,20.0
2160,0.0,1.0,12.0,4.0,2.0,17.0,5.0,6.0,7.0,11.0,29.0,13.0,18.0,15.0,10.0,8.0,19.0,9.0,37.0,70.0,149.0,26.0,32.0,35.0,16.0,25.0,27.0,76.0,36.0,77.0
2209,0.0,1.0,6.0,11.0,2.0,28.0,3.0,19.0,7.0,36.0,123.0,4.0,8.0,44.0,10.0,20.0,17.0,56.0,25.0,22.0,26.0,69.0,84.0,23.0,30.0,9.0,38.0,18.0,5.0,100.0
2258,0.0,9.0,1.0,4.0,10.0,11.0,7.0,5.0,20.0,21.0,6.0,8.0,35.0,2.0,3.0,12.0,64.0,28.0,17.0,44.0,42.0,22.0,38.0,31.0,32.0,13.0,36.0,23.0,19.0,142.0
2307,0.0,2.0,1.0,4.0,9.0,10.0,13.0,3.0,5.0,7.0,36.0,64.0,27.0,21.0,26.0,11.0,45.0,19.0,50.0,22.0,15.0,8.0,33.0,31.0,18.0,107.0,12.0,43.0,23.0,111.0
2356,0.0,1.0,3.0,7.0,2.0,27.0,11.0,8.0,14.0,26.0,9.0,10.0,48.0,4.0,5.0,21.0,15.0,18.0,17.0,24.0,105.0,36.0,16.0,59.0,30.0,32.0,114.0,34.0,6.0,23.0
2405,0.0,1.0,5.0,3.0,9.0,21.0,16.0,7.0,26.0,12.0,6.0,25.0,44.0,33.0,18.0,2.0,62.0,20.0,24.0,45.0,22.0,61.0,8.0,58.0,14.0,17.0,32.0,11.0,4.0,89.0
2454,0.0,2.0,8.0,19.0,5.0,21.0,15.0,3.0,22.0,18.0,11.0,13.0,1.0,124.0,26.0,7.0,10.0,44.0,28.0,24.0,6.0,25.0,32.0,27.0,16.0,38.0,20.0,40.0,65.0,37.0
2503,0.0,1.0,3.0,2.0,9.0,7.0,16.0,20.0,17.0,4.0,22.0,11.0,6.0,27.0,29.0,8.0,5.0,92.0,26.0,104.0,13.0,19.0,28.0,38.0,24.0,45.0,32.0,56.0,69.0,25.0
2552,0.0,1.0,2.0,8.0,11.0,16.0,7.0,50.0,21.0,3.0,35.0,5.0,13.0,57.0,6.0,15.0,9.0,41.0,14.0,40.0,4.0,12.0,23.0,22.0,26.0,149.0,17.0,36.0,20.0,19.0
2601,0.0,1.0,3.0,2.0,9.0,10.0,5.0,18.0,4.0,6.0,8.0,11.0,14.0,21.0,12.0,19.0,13.0,7.0,17.0,96.0,39.0,28.0,16.0,45.0,64.0,87.0,53.0,70.0,35.0,15.0
2650,0.0,1.0,9.0,2.0,35.0,3.0,10.0,23.0,7.0,25.0,14.0,29.0,53.0,13.0,11.0,17.0,6.0,55.0,4.0,68.0,22.0,57.0,20.0,18.0,127.0,49.0,12.0,86.0,36.0,16.0
2699,0.0,1.0,3.0,6.0,4.0,13.0,5.0,8.0,33.0,10.0,23.0,28.0,18.0,15.0,29.0,2.0,17.0,11.0,20.0,27.0,22.0,42.0,70.0,14.0,102.0,79.0,34.0,43.0,47.0,54.0
2748,0.0,1.0,3.0,2.0,17.0,5.0,13.0,20.0,60.0,7.0,8.0,14.0,44.0,23.0,4.0,11.0,12.0,27.0,31.0,29.0,6.0,15.0,39.0,28.0,77.0,58.0,18.0,42.0,35.0,16.0
2797,0.0,1.0,6.0,3.0,7.0,2.0,21.0,18.0,54.0,10.0,8.0,5.0,20.0,12.0,13.0,32.0,4.0,109.0,11.0,35.0,14.0,43.0,24.0,67.0,38.0,33.0,9.0,95.0,50.0,16.0
2846,0.0,1.0,3.0,2.0,11.0,20.0,13.0,19.0,9.0,10.0,31.0,21.0,8.0,16.0,15.0,4.0,62.0,98.0,5.0,37.0,23.0,7.0,44.0,33.0,14.0,43.0,18.0,141.0,78.0,6.0
2895,0.0,11.0,32.0,1.0,23.0,4.0,10.0,59.0,28.0,2.0,12.0,40.0,25.0,36.0,14.0,3.0,45.0,42.0,22.0,8.0,6.0,20.0,19.0,18.0,72.0,60.0,26.0,51.0,13.0,5.0
2944,11.0,2.0,0.0,5.0,19.0,7.0,10.0,15.0,4.0,1.0,28.0,21.0,12.0,44.0,18.0,13.0,29.0,3.0,14.0,8.0,16.0,50.0,22.0,57.0,104.0,70.0,17.0,53.0,52.0,6.0
2993,4.0,0.0,2.0,5.0,10.0,13.0,1.0,14.0,3.0,7.0,20.0,17.0,23.0,47.0,12.0,81.0,18.0,9.0,8.0,6.0,16.0,26.0,22.0,35.0,55.0,11.0,21.0,52.0,91.0,15.0
3042,2.0,0.0,6.0,10.0,1.0,5.0,7.0,23.0,3.0,14.0,67.0,8.0,12.0,21.0,27.0,41.0,11.0,9.0,18.0,4.0,17.0,15.0,38.0,128.0,26.0,89.0,16.0,83.0,55.0,20.0
3091,3.0,0.0,1.0,13.0,4.0,15.0,2.0,11.0,7.0,8.0,21.0,17.0,19.0,6.0,9.0,23.0,20.0,5.0,10.0,12.0,14.0,18.0,71.0,83.0,131.0,24.0,42.0,52.0,27.0,26.0
3140,2.0,0.0,1.0,3.0,7.0,5.0,6.0,9.0,11.0,23.0,18.0,13.0,22.0,10.0,25.0,28.0,43.0,4.0,14.0,17.0,8.0,12.0,41.0,54.0,51.0,30.0,15.0,26.0,47.0,19.0
3189,3.0,0.0,9.0,2.0,1.0,25.0,6.0,10.0,5.0,4.0,18.0,27.0,12.0,60.0,23.0,44.0,17.0,14.0,31.0,8.0,19.0,7.0,20.0,37.0,155.0,32.0,13.0,119.0,80.0,11.0
3238,1.0,0.0,13.0,3.0,14.0,11.0,2.0,9.0,4.0,15.0,21.0,6.0,10.0,49.0,7.0,47.0,77.0,5.0,20.0,12.0,8.0,31.0,30.0,29.0,16.0,43.0,19.0,39.0,96.0,24.0
3287,0.0,1.0,7.0,8.0,3.0,2.0,14.0,11.0,5.0,15.0,37.0,18.0,27.0,9.0,12.0,43.0,16.0,4.0,36.0,6.0,17.0,13.0,10.0,46.0,41.0,25.0,20.0,35.0,66.0,47.0
3336,0.0,2.0,1.0,6.0,4.0,21.0,8.0,5.0,7.0,3.0,25.0,9.0,22.0,17.0,16.0,14.0,43.0,35.0,13.0,12.0,18.0,27.0,28.0,86.0,59.0,30.0,34.0,44.0,11.0,10.0
3385,0.0,1.0,4.0,2.0,8.0,40.0,9.0,12.0,5.0,6.0,13.0,19.0,48.0,30.0,25.0,24.0,57.0,3.0,18.0,11.0,43.0,7.0,28.0,47.0,86.0,22.0,10.0,55.0,45.0,33.0
3434,0.0,2.0,1.0,7.0,15.0,3.0,9.0,28.0,4.0,26.0,21.0,14.0,5.0,62.0,16.0,8.0,33.0,10.0,101.0,12.0,47.0,118.0,23.0,18.0,93.0,13.0,29.0,149.0,17.0,27.0
3483,0.0,2.0,10.0,6.0,33.0,5.0,7.0,11.0,12.0,9.0,4.0,23.0,34.0,62.0,1.0,20.0,51.0,13.0,31.0,15.0,30.0,25.0,52.0,18.0,19.0,8.0,35.0,27.0,21.0,76.0
3532,0.0,2.0,1.0,14.0,54.0,3.0,15.0,8.0,4.0,40.0,11.0,9.0,6.0,38.0,13.0,46.0,36.0,53.0,5.0,19.0,21.0,18.0,39.0,12.0,20.0,26.0,32.0,27.0,86.0,81.0
3581,0.0,8.0,3.0,20.0,15.0,40.0,25.0,16.0,4.0,5.0,11.0,10.0,1.0,49.0,14.0,2.0,55.0,18.0,44.0,41.0,19.0,17.0,21.0,23.0,12.0,80.0,48.0,28.0,79.0,22.0
3630,0.0,2.0,6.0,16.0,50.0,14.0,5.0,11.0,7.0,1.0,12.0,31.0,9.0,4.0,10.0,17.0,61.0,26.0,46.0,34.0,13.0,32.0,39.0,15.0,37.0,29.0,19.0,8.0,18.0,24.0
3679,0.0,13.0,1.0,6.0,14.0,10.0,24.0,11.0,3.0,20.0,5.0,26.0,8.0,90.0,2.0,22.0,36.0,105.0,15.0,23.0,17.0,7.0,32.0,21.0,35.0,28.0,19.0,25.0,56.0,96.0
3728,0.0,2.0,11.0,12.0,14.0,1.0,3.0,10.0,7.0,15.0,5.0,20.0,9.0,13.0,41.0,54.0,23.0,24.0,22.0,18.0,71.0,33.0,42.0,38.0,27.0,40.0,6.0,75.0,26.0,21.0
3777,0.0,1.0,3.0,22.0,13.0,4.0,23.0,9.0,5.0,34.0,12.0,57.0,2.0,6.0,14.0,11.0,8.0,37.0,7.0,76.0,16.0,10.0,15.0,25.0,51.0,24.0,19.0,48.0,73.0,59.0
3826,0.0,2.0,1.0,14.0,4.0,10.0,50.0,6.0,3.0,8.0,5.0,26.0,16.0,34.0,35.0,12.0,48.0,29.0,13.0,11.0,15.0,9.0,24.0,22.0,19.0,63.0,49.0,54.0,122.0,17.0
3875,0.0,1.0,3.0,8.0,4.0,11.0,6.0,10.0,2.0,7.0,22.0,13.0,9.0,61.0,21.0,5.0,14.0,32.0,112.0,17.0,16.0,18.0,74.0,46.0,53.0,27.0,43.0,23.0,19.0,58.0
3924,0.0,2.0,1.0,6.0,24.0,9.0,3.0,7.0,10.0,14.0,8.0,13.0,15.0,5.0,11.0,4.0,16.0,27.0,36.0,76.0,22.0,39.0,25.0,84.0,53.0,26.0,20.0,45.0,115.0,35.0
3973,0.0,1.0,5.0,6.0,14.0,9.0,3.0,10.0,2.0,12.0,22.0,26.0,13.0,16.0,37.0,7.0,4.0,19.0,8.0,56.0,31.0,48.0,33.0,71.0,24.0,20.0,129.0,40.0,45.0,47.0
4022,0.0,2.0,3.0,6.0,34.0,1.0,12.0,4.0,8.0,18.0,5.0,20.0,14.0,13.0,10.0,9.0,21.0,17.0,7.0,53.0,43.0,23.0,62.0,24.0,38.0,16.0,28.0,15.0,104.0,33.0
4071,0.0,1.0,3.0,5.0,10.0,4.0,6.0,2.0,14.0,12.0,15.0,33.0,11.0,8.0,25.0,19.0,22.0,28.0,23.0,96.0,29.0,53.0,58.0,46.0,56.0,20.0,7.0,18.0,88.0,30.0
4120,0.0,2.0,1.0,11.0,12.0,4.0,10.0,7.0,16.0,32.0,14.0,67.0,22.0,8.0,21.0,6.0,19.0,20.0,24.0,83.0,138.0,36.0,17.0,30.0,18.0,75.0,38.0,26.0,71.0,28.0
4169,0.0,1.0,15.0,3.0,20.0,6.0,7.0,4.0,13.0,10.0,8.0,22.0,29.0,14.0,2.0,21.0,9.0,18.0,47.0,49.0,33.0,39.0,46.0,31.0,100.0,17.0,27.0,26.0,58.0,50.0
4218,0.0,1.0,4.0,2.0,7.0,23.0,6.0,12.0,3.0,11.0,8.0,16.0,31.0,5.0,22.0,35.0,13.0,26.0,21.0,14.0,50.0,27.0,15.0,29.0,9.0,10.0,72.0,19.0,68.0,36.0
4267,0.0,6.0,9.0,14.0,26.0,13.0,4.0,1.0,8.0,21.0,3.0,29.0,16.0,12.0,2.0,15.0,5.0,7.0,11.0,56.0,34.0,37.0,30.0,69.0,39.0,71.0,27.0,89.0,120.0,31.0
4316,0.0,3.0,2.0,1.0,6.0,9.0,27.0,8.0,22.0,43.0,10.0,15.0,63.0,23.0,4.0,12.0,37.0,7.0,24.0,89.0,25.0,34.0,29.0,14.0,32.0,82.0,17.0,36.0,35.0,40.0
4365,0.0,1.0,2.0,3.0,6.0,5.0,25.0,15.0,4.0,10.0,17.0,43.0,8.0,14.0,23.0,24.0,9.0,27.0,29.0,28.0,95.0,11.0,22.0,13.0,7.0,40.0,65.0,35.0,118.0,30.0
4414,0.0,2.0,5.0,4.0,1.0,7.0,36.0,18.0,6.0,15.0,3.0,16.0,14.0,11.0,12.0,32.0,9.0,33.0,10.0,19.0,123.0,52.0,58.0,43.0,31.0,13.0,29.0,24.0,61.0,87.0
4463,0.0,2.0,6.0,1.0,3.0,5.0,20.0,4.0,8.0,52.0,32.0,10.0,12.0,82.0,7.0,13.0,17.0,16.0,36.0,14.0,9.0,15.0,65.0,28.0,31.0,47.0,101.0,21.0,49.0,41.0
4512,0.0,1.0,4.0,3.0,5.0,8.0,2.0,35.0,11.0,48.0,10.0,6.0,20.0,70.0,9.0,59.0,13.0,17.0,66.0,14.0,29.0,18.0,101.0,39.0,38.0,77.0,75.0,22.0,30.0,150.0
4561,0.0,1.0,2.0,3.0,7.0,8.0,6.0,4.0,23.0,64.0,20.0,24.0,9.0,19.0,5.0,18.0,10.0,12.0,21.0,16.0,22.0,28.0,119.0,13.0,31.0,66.0,11.0,17.0,55.0,82.0
4610,0.0,1.0,4.0,2.0,8.0,6.0,12.0,10.0,3.0,95.0,13.0,5.0,11.0,38.0,16.0,17.0,9.0,30.0,62.0,40.0,21.0,22.0,20.0,54.0,19.0,26.0,15.0,7.0,34.0,72.0
4659,0.0,1.0,3.0,6.0,2.0,9.0,77.0,12.0,27.0,90.0,4.0,5.0,96.0,75.0,31.0,7.0,58.0,19.0,32.0,10.0,11.0,39.0,20.0,36.0,50.0,81.0,78.0,16.0,141.0,17.0
4708,0.0,1.0,2.0,10.0,3.0,4.0,12.0,13.0,7.0,20.0,16.0,9.0,26.0,19.0,17.0,11.0,6.0,33.0,25.0,5.0,22.0,8.0,121.0,14.0,53.0,27.0,82.0,15.0,104.0,30.0
4757,0.0,1.0,2.0,3.0,23.0,5.0,7.0,8.0,20.0,12.0,11.0,58.0,45.0,9.0,10.0,6.0,4.0,16.0,22.0,13.0,25.0,18.0,34.0,19.0,150.0,33.0,24.0,28.0,142.0,73.0
4806,0.0,1.0,10.0,7.0,3.0,2.0,5.0,8.0,9.0,14.0,25.0,15.0,19.0,45.0,6.0,28.0,17.0,4.0,21.0,37.0,42.0,11.0,30.0,13.0,12.0,67.0,52.0,27.0,16.0,68.0
4855,0.0,1.0,2.0,13.0,7.0,6.0,8.0,20.0,3.0,21.0,10.0,22.0,26.0,24.0,15.0,4.0,5.0,30.0,12.0,9.0,53.0,11.0,69.0,33.0,27.0,94.0,49.0,19.0,146.0,31.0
