,cis/trans-hydroxyproline,valerylcarnitine,DHAP/glyceraldehyde 3P,pantothenate,alpha-glycerophosphate,adenosine,phosphocreatine,inositol,dCMP,creatinine,isocitrate,carnitine,guanosine,C36:4 PC-B,C56:5 TAG,alpha-hydroxybutyrate,taurodeoxycholate,homocysteine,cytidine,N-carbamoyl-beta-alanine,inosine,malondialdehyde,putrescine,acetylcholine,oxalate,C36:1 DAG,1-methylnicotinamide,uridine,C18:0 LPC,urate
660,1.0,0.0,2.0,3.0,5.0,4.0,9.0,7.0,8.0,10.0,31.0,6.0,15.0,17.0,12.0,13.0,11.0,33.0,21.0,14.0,19.0,22.0,16.0,20.0,25.0,23.0,37.0,50.0,41.0,18.0
709,0.0,2.0,1.0,5.0,3.0,4.0,6.0,8.0,7.0,9.0,16.0,13.0,24.0,26.0,18.0,11.0,27.0,10.0,31.0,23.0,19.0,20.0,21.0,12.0,28.0,14.0,17.0,43.0,37.0,15.0
758,1.0,0.0,2.0,3.0,5.0,4.0,7.0,6.0,17.0,13.0,26.0,9.0,25.0,35.0,19.0,12.0,15.0,28.0,21.0,8.0,33.0,14.0,20.0,23.0,16.0,24.0,10.0,51.0,44.0,11.0
807,1.0,0.0,2.0,3.0,4.0,6.0,10.0,7.0,5.0,13.0,33.0,8.0,20.0,19.0,25.0,11.0,14.0,21.0,30.0,9.0,43.0,22.0,16.0,15.0,17.0,34.0,23.0,41.0,47.0,31.0
856,0.0,1.0,2.0,3.0,4.0,5.0,9.0,11.0,10.0,7.0,22.0,14.0,16.0,35.0,17.0,8.0,6.0,26.0,24.0,21.0,30.0,34.0,23.0,15.0,27.0,19.0,12.0,53.0,36.0,18.0
905,0.0,2.0,1.0,3.0,7.0,4.0,8.0,5.0,10.0,6.0,37.0,11.0,9.0,35.0,16.0,15.0,12.0,26.0,18.0,14.0,27.0,21.0,20.0,23.0,17.0,40.0,28.0,49.0,47.0,19.0
954,0.0,2.0,4.0,3.0,5.0,1.0,7.0,12.0,9.0,14.0,23.0,16.0,28.0,26.0,24.0,10.0,11.0,15.0,6.0,20.0,43.0,21.0,8.0,27.0,13.0,30.0,19.0,33.0,44.0,17.0
1003,0.0,2.0,4.0,1.0,3.0,5.0,7.0,15.0,13.0,17.0,11.0,12.0,6.0,9.0,10.0,19.0,23.0,14.0,18.0,24.0,43.0,16.0,21.0,8.0,22.0,33.0,27.0,28.0,20.0,36.0
1052,0.0,1.0,3.0,2.0,8.0,4.0,6.0,5.0,12.0,11.0,9.0,22.0,7.0,20.0,17.0,19.0,14.0,15.0,13.0,25.0,47.0,21.0,29.0,10.0,18.0,35.0,40.0,30.0,27.0,38.0
1101,0.0,2.0,3.0,1.0,9.0,4.0,8.0,11.0,5.0,22.0,14.0,6.0,7.0,10.0,29.0,26.0,13.0,12.0,15.0,24.0,33.0,20.0,18.0,16.0,21.0,36.0,19.0,31.0,25.0,40.0
1150,0.0,1.0,5.0,2.0,4.0,3.0,10.0,12.0,7.0,11.0,19.0,6.0,8.0,21.0,17.0,14.0,28.0,25.0,16.0,22.0,33.0,13.0,18.0,15.0,9.0,32.0,30.0,40.0,20.0,31.0
1199,1.0,0.0,3.0,2.0,4.0,5.0,8.0,7.0,15.0,9.0,6.0,14.0,10.0,25.0,13.0,12.0,18.0,21.0,20.0,11.0,34.0,17.0,36.0,19.0,22.0,28.0,26.0,23.0,31.0,49.0
1248,0.0,1.0,2.0,3.0,5.0,10.0,4.0,16.0,7.0,18.0,9.0,8.0,6.0,22.0,19.0,23.0,12.0,14.0,11.0,20.0,27.0,25.0,26.0,15.0,17.0,30.0,34.0,13.0,37.0,61.0
1297,0.0,2.0,3.0,1.0,5.0,4.0,6.0,12.0,10.0,13.0,9.0,11.0,27.0,8.0,7.0,22.0,15.0,17.0,25.0,16.0,52.0,19.0,46.0,21.0,23.0,18.0,26.0,29.0,14.0,31.0
1346,0.0,1.0,3.0,2.0,5.0,4.0,6.0,16.0,7.0,13.0,9.0,12.0,8.0,11.0,10.0,18.0,25.0,17.0,34.0,37.0,44.0,40.0,26.0,15.0,14.0,43.0,23.0,31.0,33.0,46.0
1395,0.0,2.0,4.0,3.0,1.0,5.0,8.0,12.0,22.0,7.0,6.0,13.0,11.0,14.0,20.0,19.0,18.0,17.0,16.0,9.0,25.0,10.0,24.0,23.0,27.0,29.0,30.0,40.0,35.0,28.0
1444,0.0,1.0,7.0,2.0,4.0,3.0,15.0,10.0,20.0,18.0,8.0,5.0,9.0,14.0,11.0,12.0,6.0,17.0,16.0,27.0,31.0,13.0,19.0,26.0,21.0,32.0,22.0,25.0,29.0,46.0
1493,0.0,2.0,1.0,3.0,7.0,9.0,4.0,6.0,10.0,16.0,26.0,8.0,15.0,5.0,32.0,28.0,20.0,19.0,11.0,12.0,13.0,23.0,14.0,21.0,18.0,29.0,40.0,17.0,39.0,27.0
1542,0.0,2.0,1.0,3.0,6.0,8.0,5.0,4.0,14.0,17.0,12.0,10.0,23.0,9.0,24.0,16.0,18.0,31.0,22.0,7.0,15.0,20.0,11.0,26.0,32.0,29.0,43.0,13.0,21.0,48.0
1591,0.0,1.0,2.0,3.0,6.0,4.0,5.0,7.0,9.0,17.0,12.0,10.0,15.0,8.0,30.0,22.0,16.0,23.0,21.0,11.0,24.0,26.0,19.0,48.0,20.0,14.0,44.0,13.0,31.0,33.0
1640,1.0,4.0,2.0,0.0,6.0,5.0,3.0,8.0,7.0,27.0,18.0,15.0,39.0,13.0,25.0,24.0,10.0,40.0,20.0,17.0,31.0,9.0,28.0,45.0,11.0,19.0,21.0,12.0,29.0,26.0
1689,0.0,3.0,2.0,1.0,6.0,8.0,5.0,9.0,7.0,18.0,13.0,15.0,24.0,14.0,25.0,23.0,16.0,37.0,21.0,4.0,19.0,12.0,17.0,27.0,20.0,39.0,32.0,10.0,34.0,36.0
1738,0.0,1.0,2.0,3.0,9.0,7.0,4.0,6.0,8.0,15.0,10.0,14.0,17.0,5.0,24.0,19.0,12.0,26.0,21.0,20.0,11.0,13.0,18.0,22.0,28.0,23.0,36.0,16.0,38.0,30.0
1787,0.0,3.0,2.0,1.0,6.0,5.0,11.0,4.0,9.0,16.0,19.0,23.0,13.0,8.0,17.0,12.0,20.0,26.0,22.0,7.0,25.0,10.0,14.0,24.0,15.0,35.0,42.0,21.0,43.0,31.0
1836,0.0,3.0,2.0,1.0,7.0,4.0,6.0,5.0,15.0,26.0,12.0,18.0,14.0,8.0,29.0,19.0,10.0,17.0,20.0,9.0,23.0,13.0,11.0,16.0,21.0,22.0,32.0,27.0,39.0,24.0
1885,0.0,1.0,4.0,2.0,6.0,7.0,3.0,5.0,22.0,21.0,13.0,9.0,15.0,8.0,29.0,31.0,10.0,20.0,17.0,18.0,19.0,14.0,11.0,25.0,35.0,26.0,37.0,16.0,28.0,41.0
1934,0.0,2.0,1.0,3.0,9.0,7.0,4.0,5.0,8.0,12.0,24.0,14.0,15.0,6.0,30.0,29.0,23.0,33.0,19.0,10.0,17.0,11.0,21.0,32.0,26.0,18.0,25.0,13.0,20.0,27.0
1983,0.0,3.0,2.0,1.0,5.0,4.0,6.0,13.0,9.0,8.0,11.0,10.0,7.0,41.0,12.0,19.0,24.0,28.0,16.0,38.0,35.0,17.0,39.0,14.0,30.0,26.0,48.0,31.0,21.0,22.0
2032,0.0,2.0,3.0,1.0,4.0,5.0,6.0,10.0,11.0,8.0,12.0,24.0,7.0,36.0,13.0,9.0,29.0,18.0,22.0,50.0,17.0,21.0,15.0,23.0,30.0,25.0,37.0,26.0,38.0,35.0
2081,0.0,2.0,3.0,1.0,6.0,5.0,4.0,8.0,12.0,13.0,9.0,16.0,10.0,29.0,7.0,21.0,19.0,38.0,15.0,32.0,24.0,20.0,28.0,14.0,36.0,33.0,45.0,11.0,26.0,31.0
2130,0.0,3.0,1.0,2.0,5.0,4.0,6.0,7.0,10.0,11.0,12.0,19.0,8.0,42.0,15.0,9.0,26.0,20.0,16.0,30.0,14.0,31.0,25.0,17.0,34.0,33.0,50.0,23.0,27.0,21.0
2179,1.0,0.0,2.0,3.0,4.0,5.0,6.0,11.0,13.0,7.0,9.0,20.0,10.0,28.0,16.0,14.0,17.0,15.0,8.0,42.0,19.0,37.0,26.0,12.0,21.0,27.0,46.0,38.0,22.0,25.0
2228,0.0,3.0,2.0,1.0,4.0,5.0,6.0,10.0,7.0,8.0,19.0,14.0,12.0,32.0,11.0,18.0,24.0,29.0,20.0,33.0,13.0,9.0,28.0,21.0,23.0,27.0,38.0,30.0,22.0,41.0
2277,0.0,6.0,2.0,1.0,4.0,5.0,3.0,12.0,7.0,8.0,10.0,28.0,9.0,27.0,26.0,18.0,14.0,17.0,11.0,39.0,31.0,24.0,35.0,36.0,13.0,23.0,20.0,16.0,15.0,29.0
2326,0.0,1.0,4.0,2.0,3.0,5.0,7.0,8.0,25.0,10.0,9.0,23.0,6.0,26.0,12.0,15.0,16.0,13.0,17.0,32.0,14.0,19.0,11.0,28.0,22.0,31.0,43.0,44.0,42.0,40.0
2375,0.0,4.0,1.0,2.0,6.0,5.0,3.0,13.0,15.0,7.0,14.0,16.0,9.0,42.0,10.0,11.0,21.0,33.0,12.0,31.0,17.0,23.0,28.0,8.0,18.0,32.0,37.0,29.0,40.0,30.0
2424,0.0,2.0,1.0,3.0,4.0,8.0,5.0,7.0,12.0,9.0,13.0,17.0,6.0,47.0,16.0,10.0,29.0,20.0,14.0,28.0,11.0,22.0,33.0,24.0,30.0,39.0,53.0,26.0,27.0,42.0
2473,1.0,5.0,2.0,0.0,3.0,4.0,8.0,13.0,9.0,7.0,6.0,23.0,22.0,17.0,16.0,12.0,27.0,18.0,14.0,10.0,31.0,19.0,35.0,11.0,15.0,24.0,30.0,25.0,20.0,38.0
2522,1.0,4.0,3.0,0.0,9.0,2.0,6.0,8.0,5.0,7.0,13.0,29.0,16.0,11.0,15.0,10.0,34.0,26.0,12.0,20.0,18.0,23.0,32.0,28.0,17.0,14.0,37.0,21.0,40.0,33.0
2571,1.0,4.0,2.0,0.0,7.0,3.0,8.0,16.0,5.0,6.0,10.0,23.0,18.0,15.0,9.0,11.0,27.0,37.0,13.0,12.0,17.0,32.0,35.0,14.0,19.0,26.0,21.0,46.0,40.0,30.0
2620,1.0,3.0,2.0,0.0,5.0,4.0,9.0,14.0,6.0,10.0,12.0,21.0,29.0,11.0,19.0,8.0,18.0,26.0,13.0,7.0,33.0,20.0,44.0,17.0,16.0,32.0,31.0,22.0,28.0,30.0
2669,1.0,4.0,3.0,0.0,6.0,2.0,7.0,9.0,5.0,12.0,11.0,24.0,18.0,10.0,17.0,8.0,22.0,34.0,15.0,20.0,30.0,26.0,44.0,13.0,16.0,19.0,29.0,23.0,25.0,28.0
2718,2.0,3.0,4.0,0.0,7.0,1.0,5.0,23.0,8.0,12.0,6.0,15.0,30.0,9.0,14.0,20.0,24.0,45.0,18.0,10.0,21.0,25.0,46.0,33.0,29.0,11.0,28.0,19.0,13.0,32.0
2767,1.0,4.0,2.0,0.0,6.0,3.0,5.0,9.0,11.0,10.0,18.0,22.0,23.0,17.0,15.0,8.0,7.0,27.0,12.0,13.0,16.0,25.0,40.0,19.0,36.0,35.0,21.0,24.0,29.0,30.0
2816,1.0,4.0,3.0,0.0,5.0,2.0,8.0,9.0,6.0,10.0,7.0,25.0,21.0,12.0,14.0,11.0,31.0,18.0,15.0,13.0,29.0,32.0,34.0,22.0,16.0,26.0,35.0,20.0,30.0,28.0
2865,1.0,5.0,2.0,0.0,6.0,3.0,9.0,7.0,4.0,13.0,12.0,27.0,19.0,10.0,11.0,8.0,31.0,41.0,14.0,18.0,22.0,24.0,33.0,16.0,29.0,25.0,20.0,37.0,26.0,30.0
2914,1.0,4.0,2.0,0.0,7.0,3.0,9.0,14.0,6.0,10.0,13.0,15.0,25.0,8.0,26.0,11.0,18.0,16.0,5.0,17.0,22.0,39.0,34.0,12.0,19.0,28.0,20.0,21.0,29.0,27.0
2963,0.0,1.0,3.0,4.0,2.0,5.0,6.0,7.0,12.0,9.0,13.0,11.0,23.0,21.0,24.0,26.0,10.0,14.0,15.0,30.0,25.0,40.0,8.0,22.0,41.0,20.0,28.0,32.0,19.0,17.0
3012,0.0,1.0,2.0,3.0,6.0,4.0,5.0,8.0,7.0,9.0,14.0,12.0,36.0,11.0,21.0,16.0,13.0,15.0,10.0,32.0,40.0,27.0,20.0,23.0,31.0,17.0,28.0,26.0,19.0,22.0
3061,0.0,1.0,3.0,2.0,4.0,5.0,6.0,8.0,9.0,11.0,10.0,7.0,21.0,18.0,16.0,38.0,14.0,12.0,22.0,29.0,41.0,47.0,17.0,15.0,35.0,20.0,27.0,39.0,24.0,26.0
3110,0.0,1.0,2.0,4.0,6.0,5.0,3.0,9.0,11.0,7.0,8.0,12.0,29.0,23.0,19.0,22.0,15.0,10.0,17.0,35.0,24.0,20.0,16.0,27.0,33.0,13.0,32.0,30.0,18.0,21.0
3159,0.0,1.0,2.0,4.0,3.0,5.0,6.0,8.0,10.0,13.0,15.0,7.0,41.0,26.0,14.0,16.0,12.0,9.0,17.0,18.0,20.0,21.0,11.0,29.0,23.0,24.0,28.0,30.0,32.0,33.0
3208,0.0,2.0,1.0,5.0,8.0,4.0,9.0,3.0,6.0,10.0,12.0,7.0,31.0,15.0,17.0,23.0,18.0,11.0,26.0,14.0,25.0,16.0,21.0,28.0,30.0,13.0,22.0,20.0,19.0,42.0
3257,0.0,1.0,2.0,4.0,3.0,5.0,6.0,9.0,8.0,10.0,12.0,11.0,45.0,19.0,14.0,21.0,17.0,7.0,20.0,29.0,25.0,38.0,18.0,15.0,26.0,23.0,24.0,33.0,22.0,16.0
3306,0.0,1.0,4.0,2.0,3.0,6.0,5.0,18.0,8.0,9.0,7.0,15.0,36.0,19.0,24.0,29.0,10.0,11.0,16.0,22.0,17.0,25.0,12.0,30.0,34.0,13.0,23.0,32.0,21.0,20.0
3355,0.0,1.0,2.0,3.0,5.0,6.0,4.0,9.0,10.0,8.0,16.0,11.0,51.0,25.0,13.0,35.0,12.0,7.0,29.0,20.0,28.0,23.0,15.0,22.0,45.0,38.0,27.0,19.0,26.0,21.0
3404,0.0,2.0,1.0,8.0,4.0,7.0,5.0,3.0,9.0,16.0,18.0,15.0,24.0,21.0,19.0,25.0,12.0,10.0,26.0,37.0,22.0,47.0,11.0,23.0,43.0,14.0,28.0,44.0,36.0,20.0
3453,1.0,2.0,0.0,3.0,4.0,5.0,6.0,16.0,10.0,14.0,17.0,19.0,7.0,18.0,11.0,8.0,9.0,33.0,35.0,26.0,21.0,12.0,46.0,39.0,15.0,13.0,22.0,41.0,38.0,20.0
3502,1.0,0.0,3.0,2.0,6.0,5.0,14.0,8.0,7.0,13.0,11.0,12.0,17.0,20.0,16.0,25.0,4.0,15.0,32.0,19.0,9.0,18.0,37.0,26.0,24.0,10.0,22.0,30.0,28.0,27.0
3551,2.0,0.0,1.0,4.0,8.0,3.0,6.0,13.0,7.0,12.0,9.0,11.0,10.0,22.0,25.0,23.0,5.0,28.0,37.0,21.0,18.0,15.0,48.0,32.0,20.0,17.0,14.0,34.0,36.0,33.0
3600,1.0,2.0,0.0,3.0,6.0,5.0,4.0,17.0,15.0,8.0,12.0,10.0,13.0,20.0,9.0,25.0,7.0,23.0,39.0,18.0,11.0,14.0,47.0,16.0,27.0,37.0,32.0,36.0,34.0,28.0
3649,0.0,1.0,2.0,3.0,4.0,5.0,6.0,12.0,9.0,15.0,8.0,16.0,14.0,28.0,24.0,7.0,10.0,25.0,31.0,18.0,13.0,11.0,43.0,23.0,19.0,17.0,29.0,21.0,22.0,26.0
3698,2.0,1.0,0.0,6.0,4.0,5.0,3.0,8.0,12.0,9.0,18.0,26.0,11.0,28.0,25.0,14.0,7.0,24.0,33.0,17.0,10.0,16.0,38.0,20.0,13.0,15.0,19.0,21.0,31.0,23.0
3747,1.0,0.0,2.0,5.0,7.0,3.0,4.0,15.0,6.0,11.0,10.0,9.0,19.0,21.0,33.0,17.0,13.0,29.0,28.0,12.0,8.0,16.0,45.0,18.0,14.0,27.0,23.0,25.0,34.0,38.0
3796,3.0,4.0,2.0,0.0,6.0,1.0,7.0,15.0,9.0,18.0,12.0,8.0,21.0,14.0,38.0,19.0,5.0,30.0,34.0,17.0,23.0,31.0,42.0,25.0,10.0,11.0,27.0,28.0,22.0,32.0
3845,2.0,0.0,1.0,3.0,7.0,6.0,4.0,11.0,18.0,15.0,13.0,16.0,10.0,12.0,17.0,19.0,5.0,29.0,20.0,8.0,9.0,32.0,40.0,30.0,23.0,14.0,21.0,26.0,28.0,24.0
3894,0.0,1.0,3.0,2.0,5.0,13.0,4.0,10.0,15.0,6.0,8.0,12.0,9.0,17.0,16.0,19.0,7.0,21.0,33.0,11.0,18.0,28.0,50.0,29.0,14.0,30.0,26.0,25.0,45.0,38.0
3943,0.0,2.0,3.0,4.0,1.0,7.0,13.0,6.0,8.0,17.0,12.0,9.0,14.0,16.0,37.0,11.0,10.0,22.0,19.0,25.0,5.0,30.0,20.0,15.0,23.0,18.0,26.0,32.0,21.0,27.0
3992,2.0,4.0,3.0,1.0,0.0,5.0,6.0,8.0,11.0,18.0,7.0,16.0,26.0,15.0,25.0,12.0,10.0,22.0,23.0,19.0,13.0,14.0,20.0,9.0,36.0,24.0,34.0,21.0,17.0,27.0
4041,0.0,1.0,4.0,3.0,2.0,11.0,6.0,5.0,20.0,12.0,9.0,10.0,16.0,15.0,34.0,13.0,14.0,18.0,23.0,28.0,7.0,24.0,21.0,8.0,17.0,25.0,36.0,26.0,27.0,30.0
4090,1.0,2.0,0.0,3.0,4.0,6.0,5.0,9.0,12.0,7.0,20.0,10.0,14.0,8.0,22.0,16.0,19.0,30.0,26.0,23.0,11.0,15.0,17.0,18.0,13.0,39.0,28.0,24.0,31.0,27.0
4139,3.0,0.0,1.0,2.0,4.0,6.0,5.0,7.0,9.0,10.0,8.0,17.0,14.0,12.0,22.0,11.0,16.0,26.0,15.0,23.0,13.0,30.0,21.0,18.0,28.0,31.0,33.0,35.0,29.0,25.0
4188,2.0,0.0,1.0,4.0,3.0,8.0,5.0,9.0,11.0,7.0,10.0,16.0,18.0,12.0,23.0,15.0,22.0,13.0,33.0,28.0,6.0,14.0,17.0,21.0,35.0,24.0,32.0,19.0,25.0,31.0
4237,3.0,2.0,0.0,4.0,1.0,7.0,5.0,8.0,20.0,12.0,6.0,13.0,14.0,15.0,24.0,18.0,21.0,10.0,28.0,22.0,9.0,25.0,17.0,30.0,34.0,19.0,23.0,29.0,11.0,26.0
4286,1.0,2.0,0.0,5.0,4.0,8.0,3.0,6.0,7.0,11.0,14.0,19.0,18.0,17.0,25.0,12.0,16.0,13.0,22.0,20.0,10.0,9.0,15.0,24.0,29.0,23.0,21.0,30.0,33.0,34.0
4335,4.0,2.0,0.0,3.0,1.0,6.0,5.0,9.0,7.0,11.0,8.0,18.0,15.0,13.0,10.0,22.0,25.0,14.0,19.0,28.0,16.0,17.0,21.0,12.0,31.0,23.0,30.0,34.0,29.0,26.0
4384,1.0,4.0,2.0,3.0,0.0,7.0,5.0,9.0,12.0,15.0,6.0,19.0,18.0,8.0,22.0,26.0,13.0,16.0,17.0,24.0,10.0,14.0,29.0,28.0,27.0,37.0,23.0,40.0,21.0,20.0
4433,1.0,0.0,2.0,3.0,6.0,4.0,7.0,20.0,8.0,5.0,11.0,13.0,22.0,16.0,9.0,23.0,32.0,14.0,10.0,15.0,21.0,12.0,26.0,25.0,29.0,31.0,33.0,35.0,44.0,17.0
4482,0.0,1.0,2.0,4.0,5.0,3.0,11.0,17.0,22.0,8.0,7.0,19.0,20.0,18.0,6.0,23.0,38.0,14.0,13.0,9.0,10.0,15.0,30.0,12.0,26.0,29.0,24.0,31.0,39.0,32.0
4531,0.0,2.0,3.0,5.0,8.0,1.0,4.0,14.0,10.0,6.0,13.0,26.0,21.0,12.0,9.0,27.0,11.0,23.0,35.0,16.0,24.0,7.0,38.0,39.0,37.0,20.0,15.0,45.0,32.0,36.0
4580,0.0,3.0,2.0,5.0,6.0,1.0,4.0,12.0,16.0,7.0,9.0,36.0,35.0,22.0,10.0,20.0,30.0,17.0,26.0,8.0,13.0,15.0,14.0,11.0,31.0,40.0,18.0,46.0,43.0,19.0
4629,0.0,2.0,4.0,3.0,5.0,1.0,6.0,22.0,7.0,8.0,12.0,15.0,37.0,10.0,11.0,26.0,28.0,21.0,23.0,17.0,16.0,9.0,19.0,32.0,13.0,35.0,14.0,42.0,38.0,27.0
4678,0.0,3.0,2.0,4.0,5.0,1.0,7.0,11.0,12.0,9.0,8.0,10.0,16.0,22.0,13.0,20.0,17.0,14.0,26.0,15.0,6.0,19.0,18.0,28.0,40.0,27.0,29.0,42.0,46.0,23.0
4727,0.0,1.0,2.0,4.0,5.0,3.0,6.0,19.0,7.0,10.0,26.0,17.0,30.0,36.0,23.0,13.0,25.0,12.0,11.0,18.0,9.0,14.0,22.0,28.0,16.0,34.0,32.0,43.0,33.0,39.0
4776,0.0,3.0,1.0,5.0,2.0,4.0,6.0,33.0,8.0,9.0,7.0,13.0,38.0,14.0,10.0,21.0,36.0,18.0,27.0,19.0,12.0,11.0,25.0,15.0,44.0,22.0,28.0,39.0,43.0,20.0
4825,0.0,1.0,2.0,4.0,5.0,3.0,7.0,24.0,13.0,6.0,9.0,8.0,15.0,22.0,14.0,12.0,33.0,18.0,17.0,34.0,10.0,27.0,20.0,11.0,31.0,30.0,26.0,45.0,37.0,21.0
4874,0.0,1.0,3.0,2.0,6.0,5.0,4.0,16.0,9.0,8.0,10.0,7.0,33.0,19.0,11.0,31.0,21.0,23.0,25.0,17.0,22.0,18.0,14.0,29.0,30.0,27.0,13.0,32.0,44.0,36.0
