,guanosine,2-deoxycytidine,pantothenate,1-methylnicotinamide,creatine,inosine,C16:0 LPE,cystathionine,3-phosphoglycerate,palmitoylcarnitine,C22:6 CE,C34:2 DAG,PEP,GABA,inositol,urate,cytidine,C36:1 DAG,valerylcarnitine,butyrylcarnitine/isobutyrylcarnitine,C56:3 TAG,cis/trans-hydroxyproline,homocysteine,hypoxanthine,taurodeoxycholate,niacinamide,alpha-glycerophosphate,NADP,serotonin,alpha-hydroxybutyrate
511,0.0,1.0,37.0,3.0,10.0,22.0,36.0,12.0,7.0,4.0,19.0,6.0,30.0,5.0,25.0,18.0,11.0,16.0,15.0,2.0,14.0,65.0,52.0,41.0,40.0,8.0,34.0,13.0,61.0,56.0
560,2.0,4.0,6.0,0.0,7.0,1.0,3.0,10.0,8.0,17.0,33.0,42.0,14.0,23.0,27.0,5.0,34.0,18.0,9.0,12.0,16.0,46.0,26.0,25.0,24.0,31.0,11.0,55.0,49.0,48.0
609,0.0,4.0,15.0,2.0,1.0,11.0,10.0,21.0,9.0,36.0,28.0,20.0,16.0,7.0,3.0,23.0,6.0,13.0,39.0,8.0,29.0,25.0,62.0,12.0,17.0,14.0,37.0,35.0,5.0,65.0
658,0.0,3.0,4.0,7.0,2.0,8.0,15.0,12.0,1.0,23.0,16.0,10.0,13.0,17.0,6.0,20.0,11.0,26.0,31.0,5.0,25.0,24.0,22.0,54.0,18.0,30.0,19.0,42.0,21.0,52.0
707,1.0,7.0,11.0,2.0,5.0,33.0,0.0,8.0,4.0,36.0,6.0,22.0,18.0,21.0,3.0,47.0,41.0,10.0,17.0,14.0,39.0,26.0,27.0,16.0,20.0,25.0,13.0,49.0,12.0,35.0
756,5.0,0.0,8.0,6.0,40.0,10.0,11.0,20.0,1.0,9.0,17.0,3.0,13.0,2.0,14.0,7.0,26.0,19.0,15.0,4.0,21.0,50.0,36.0,37.0,23.0,39.0,34.0,55.0,30.0,32.0
805,0.0,1.0,16.0,17.0,6.0,11.0,25.0,5.0,7.0,27.0,9.0,4.0,13.0,20.0,41.0,12.0,23.0,3.0,24.0,10.0,21.0,36.0,33.0,22.0,18.0,19.0,31.0,34.0,15.0,55.0
854,3.0,0.0,7.0,4.0,5.0,11.0,6.0,27.0,8.0,24.0,26.0,2.0,16.0,36.0,12.0,15.0,33.0,1.0,18.0,17.0,10.0,51.0,40.0,23.0,44.0,31.0,22.0,43.0,30.0,41.0
903,0.0,2.0,8.0,16.0,1.0,3.0,5.0,29.0,13.0,4.0,10.0,6.0,17.0,25.0,9.0,15.0,34.0,27.0,7.0,22.0,40.0,63.0,64.0,24.0,11.0,39.0,12.0,36.0,21.0,57.0
952,1.0,9.0,0.0,2.0,3.0,12.0,19.0,27.0,7.0,20.0,16.0,4.0,5.0,8.0,23.0,34.0,25.0,30.0,15.0,10.0,44.0,28.0,33.0,45.0,18.0,13.0,6.0,31.0,29.0,42.0
1001,1.0,4.0,2.0,19.0,7.0,11.0,0.0,20.0,25.0,6.0,14.0,3.0,38.0,21.0,48.0,12.0,9.0,28.0,29.0,44.0,5.0,40.0,17.0,10.0,16.0,27.0,36.0,13.0,31.0,54.0
1050,1.0,3.0,0.0,6.0,9.0,4.0,2.0,10.0,8.0,5.0,17.0,16.0,11.0,38.0,22.0,21.0,14.0,19.0,15.0,35.0,7.0,29.0,20.0,25.0,24.0,31.0,34.0,13.0,12.0,61.0
1099,4.0,11.0,1.0,2.0,3.0,7.0,0.0,17.0,16.0,6.0,37.0,5.0,20.0,19.0,32.0,35.0,15.0,38.0,34.0,14.0,8.0,10.0,13.0,24.0,22.0,12.0,28.0,9.0,30.0,50.0
1148,5.0,3.0,0.0,21.0,2.0,4.0,6.0,8.0,38.0,1.0,23.0,11.0,22.0,17.0,56.0,12.0,13.0,31.0,29.0,7.0,14.0,9.0,25.0,18.0,53.0,10.0,42.0,19.0,28.0,51.0
1197,4.0,7.0,2.0,0.0,12.0,1.0,3.0,13.0,43.0,10.0,6.0,11.0,30.0,25.0,47.0,23.0,17.0,18.0,16.0,9.0,24.0,5.0,8.0,22.0,15.0,14.0,51.0,42.0,36.0,44.0
1246,2.0,4.0,1.0,6.0,8.0,3.0,5.0,31.0,30.0,0.0,19.0,18.0,7.0,34.0,20.0,36.0,45.0,13.0,39.0,17.0,10.0,9.0,15.0,11.0,28.0,12.0,24.0,16.0,44.0,54.0
1295,3.0,0.0,2.0,21.0,9.0,1.0,34.0,12.0,23.0,26.0,6.0,13.0,17.0,19.0,46.0,15.0,25.0,28.0,20.0,8.0,5.0,11.0,14.0,22.0,24.0,48.0,38.0,4.0,7.0,37.0
1344,5.0,0.0,1.0,3.0,17.0,2.0,21.0,8.0,7.0,28.0,11.0,4.0,19.0,22.0,58.0,46.0,12.0,16.0,25.0,18.0,14.0,27.0,9.0,6.0,15.0,20.0,13.0,24.0,36.0,41.0
1393,1.0,6.0,4.0,3.0,7.0,2.0,21.0,8.0,18.0,12.0,24.0,0.0,42.0,50.0,48.0,13.0,5.0,29.0,15.0,23.0,11.0,16.0,10.0,17.0,40.0,36.0,22.0,9.0,45.0,65.0
1442,1.0,0.0,3.0,7.0,6.0,2.0,5.0,26.0,29.0,17.0,18.0,35.0,12.0,20.0,19.0,15.0,16.0,39.0,31.0,9.0,10.0,8.0,22.0,4.0,13.0,34.0,46.0,28.0,21.0,54.0
1491,5.0,0.0,10.0,14.0,1.0,12.0,9.0,26.0,19.0,3.0,11.0,16.0,8.0,13.0,2.0,41.0,4.0,25.0,21.0,7.0,15.0,43.0,59.0,23.0,18.0,51.0,61.0,17.0,36.0,40.0
1540,6.0,3.0,11.0,2.0,23.0,38.0,1.0,49.0,4.0,28.0,26.0,9.0,7.0,13.0,0.0,12.0,35.0,5.0,10.0,33.0,20.0,18.0,15.0,17.0,24.0,22.0,14.0,46.0,8.0,45.0
1589,0.0,1.0,3.0,2.0,11.0,4.0,24.0,27.0,14.0,6.0,29.0,19.0,17.0,7.0,9.0,53.0,12.0,25.0,35.0,8.0,22.0,18.0,32.0,50.0,15.0,31.0,16.0,13.0,48.0,30.0
1638,1.0,5.0,9.0,2.0,14.0,8.0,13.0,21.0,7.0,4.0,0.0,19.0,6.0,24.0,3.0,36.0,16.0,27.0,10.0,15.0,18.0,29.0,23.0,53.0,12.0,63.0,28.0,47.0,20.0,33.0
1687,2.0,1.0,3.0,0.0,17.0,7.0,9.0,37.0,12.0,18.0,11.0,26.0,13.0,21.0,8.0,60.0,30.0,38.0,33.0,4.0,14.0,32.0,50.0,23.0,19.0,54.0,15.0,52.0,42.0,20.0
1736,2.0,0.0,4.0,3.0,23.0,11.0,10.0,31.0,40.0,18.0,5.0,6.0,8.0,28.0,1.0,61.0,7.0,44.0,22.0,51.0,13.0,38.0,21.0,46.0,58.0,35.0,17.0,43.0,26.0,25.0
1785,7.0,2.0,18.0,14.0,10.0,3.0,0.0,1.0,8.0,40.0,5.0,9.0,45.0,38.0,12.0,25.0,17.0,21.0,16.0,35.0,11.0,13.0,42.0,24.0,47.0,49.0,37.0,19.0,4.0,33.0
1834,4.0,0.0,5.0,1.0,8.0,24.0,15.0,3.0,6.0,50.0,18.0,9.0,26.0,11.0,10.0,46.0,14.0,13.0,35.0,17.0,2.0,47.0,63.0,31.0,25.0,22.0,12.0,23.0,16.0,49.0
1883,0.0,3.0,18.0,1.0,4.0,5.0,34.0,10.0,11.0,14.0,6.0,8.0,15.0,19.0,23.0,37.0,12.0,33.0,2.0,26.0,16.0,50.0,49.0,32.0,28.0,20.0,13.0,31.0,55.0,36.0
1932,4.0,0.0,8.0,1.0,3.0,10.0,11.0,2.0,5.0,17.0,52.0,12.0,25.0,6.0,23.0,30.0,14.0,42.0,9.0,15.0,20.0,29.0,35.0,26.0,24.0,31.0,46.0,21.0,13.0,37.0
1981,5.0,7.0,6.0,0.0,9.0,1.0,2.0,3.0,4.0,10.0,21.0,30.0,19.0,8.0,29.0,17.0,12.0,32.0,28.0,50.0,26.0,13.0,11.0,14.0,24.0,53.0,55.0,31.0,48.0,22.0
2030,3.0,4.0,21.0,1.0,6.0,2.0,8.0,0.0,7.0,5.0,10.0,12.0,23.0,24.0,31.0,9.0,19.0,45.0,37.0,50.0,14.0,16.0,11.0,22.0,13.0,18.0,32.0,61.0,60.0,25.0
2079,0.0,5.0,4.0,1.0,2.0,3.0,11.0,6.0,16.0,8.0,14.0,49.0,31.0,18.0,56.0,7.0,25.0,33.0,26.0,50.0,27.0,10.0,32.0,9.0,13.0,38.0,45.0,40.0,42.0,15.0
2128,1.0,10.0,6.0,0.0,3.0,2.0,9.0,11.0,8.0,5.0,19.0,45.0,48.0,17.0,43.0,7.0,21.0,23.0,51.0,27.0,20.0,4.0,14.0,41.0,13.0,22.0,40.0,30.0,32.0,15.0
2177,0.0,14.0,6.0,1.0,21.0,4.0,10.0,18.0,3.0,2.0,17.0,31.0,30.0,22.0,23.0,25.0,15.0,29.0,20.0,37.0,8.0,7.0,12.0,42.0,26.0,24.0,33.0,13.0,65.0,5.0
2226,2.0,16.0,3.0,0.0,7.0,1.0,42.0,10.0,46.0,4.0,19.0,30.0,6.0,57.0,11.0,9.0,5.0,20.0,34.0,13.0,17.0,8.0,21.0,54.0,12.0,43.0,26.0,18.0,47.0,40.0
2275,0.0,17.0,12.0,1.0,2.0,3.0,7.0,5.0,11.0,6.0,18.0,49.0,23.0,13.0,28.0,4.0,45.0,33.0,9.0,40.0,26.0,16.0,25.0,55.0,32.0,42.0,19.0,21.0,10.0,24.0
2324,1.0,3.0,4.0,0.0,5.0,6.0,2.0,7.0,14.0,13.0,8.0,52.0,20.0,16.0,12.0,18.0,23.0,15.0,17.0,45.0,47.0,28.0,11.0,42.0,37.0,51.0,25.0,22.0,19.0,26.0
2373,0.0,4.0,19.0,1.0,11.0,2.0,3.0,9.0,10.0,7.0,8.0,39.0,33.0,15.0,12.0,14.0,13.0,23.0,5.0,60.0,24.0,42.0,6.0,48.0,64.0,63.0,37.0,47.0,28.0,17.0
2422,0.0,9.0,6.0,1.0,12.0,2.0,4.0,3.0,31.0,22.0,14.0,34.0,32.0,5.0,46.0,18.0,29.0,19.0,35.0,7.0,44.0,15.0,11.0,38.0,10.0,26.0,41.0,60.0,59.0,58.0
2471,3.0,2.0,1.0,4.0,9.0,47.0,5.0,0.0,30.0,39.0,27.0,10.0,15.0,24.0,13.0,37.0,31.0,33.0,8.0,7.0,20.0,21.0,11.0,6.0,18.0,12.0,45.0,48.0,41.0,16.0
2520,1.0,4.0,3.0,0.0,7.0,9.0,19.0,2.0,28.0,14.0,18.0,5.0,16.0,8.0,6.0,47.0,33.0,34.0,37.0,30.0,24.0,12.0,10.0,13.0,15.0,20.0,31.0,51.0,39.0,23.0
2569,4.0,0.0,3.0,8.0,14.0,30.0,11.0,1.0,45.0,2.0,16.0,7.0,22.0,12.0,18.0,19.0,46.0,13.0,5.0,6.0,37.0,9.0,15.0,33.0,25.0,20.0,24.0,48.0,42.0,10.0
2618,7.0,1.0,2.0,9.0,12.0,8.0,3.0,0.0,6.0,24.0,10.0,25.0,14.0,34.0,13.0,26.0,55.0,11.0,18.0,28.0,19.0,5.0,4.0,52.0,23.0,17.0,16.0,61.0,60.0,29.0
2667,2.0,1.0,0.0,9.0,3.0,14.0,36.0,5.0,4.0,28.0,15.0,19.0,16.0,26.0,32.0,17.0,46.0,8.0,10.0,25.0,27.0,11.0,6.0,7.0,34.0,13.0,12.0,47.0,22.0,41.0
2716,1.0,3.0,2.0,5.0,12.0,22.0,29.0,0.0,13.0,14.0,10.0,21.0,11.0,43.0,37.0,7.0,57.0,8.0,17.0,20.0,36.0,15.0,6.0,18.0,39.0,9.0,4.0,44.0,16.0,45.0
2765,3.0,0.0,1.0,2.0,5.0,7.0,4.0,10.0,11.0,6.0,13.0,20.0,31.0,18.0,16.0,12.0,21.0,27.0,22.0,26.0,29.0,19.0,14.0,8.0,34.0,15.0,9.0,17.0,24.0,37.0
2814,15.0,5.0,0.0,10.0,4.0,13.0,14.0,3.0,7.0,1.0,2.0,18.0,6.0,48.0,11.0,24.0,32.0,41.0,30.0,43.0,26.0,8.0,16.0,19.0,12.0,9.0,17.0,52.0,28.0,22.0
2863,7.0,2.0,5.0,4.0,23.0,0.0,3.0,8.0,13.0,10.0,9.0,6.0,42.0,41.0,18.0,32.0,21.0,36.0,11.0,33.0,29.0,1.0,27.0,16.0,43.0,12.0,20.0,22.0,55.0,45.0
2912,12.0,10.0,0.0,3.0,28.0,1.0,6.0,5.0,15.0,13.0,2.0,9.0,17.0,30.0,36.0,48.0,29.0,7.0,32.0,20.0,16.0,50.0,14.0,31.0,4.0,8.0,41.0,19.0,33.0,21.0
2961,0.0,2.0,5.0,1.0,3.0,27.0,8.0,19.0,6.0,44.0,25.0,47.0,24.0,10.0,22.0,26.0,13.0,16.0,15.0,52.0,14.0,18.0,38.0,7.0,58.0,40.0,4.0,37.0,61.0,23.0
3010,0.0,2.0,8.0,1.0,3.0,11.0,18.0,12.0,17.0,34.0,22.0,24.0,41.0,6.0,9.0,7.0,30.0,27.0,51.0,47.0,54.0,53.0,45.0,15.0,36.0,32.0,16.0,44.0,29.0,25.0
3059,1.0,11.0,46.0,0.0,2.0,24.0,29.0,3.0,8.0,5.0,54.0,15.0,4.0,7.0,32.0,6.0,10.0,9.0,41.0,21.0,33.0,27.0,25.0,17.0,28.0,23.0,47.0,42.0,38.0,63.0
3108,6.0,7.0,12.0,2.0,4.0,20.0,1.0,3.0,0.0,9.0,21.0,16.0,15.0,31.0,49.0,55.0,5.0,19.0,18.0,11.0,14.0,41.0,37.0,8.0,45.0,35.0,47.0,29.0,52.0,30.0
3157,1.0,4.0,6.0,0.0,8.0,10.0,7.0,3.0,5.0,16.0,11.0,9.0,15.0,14.0,56.0,31.0,18.0,21.0,22.0,20.0,52.0,51.0,55.0,12.0,29.0,23.0,19.0,25.0,44.0,37.0
3206,4.0,15.0,1.0,7.0,5.0,19.0,10.0,14.0,11.0,6.0,0.0,18.0,2.0,21.0,8.0,39.0,23.0,16.0,38.0,17.0,9.0,55.0,32.0,3.0,30.0,40.0,33.0,27.0,54.0,58.0
3255,2.0,9.0,45.0,1.0,3.0,17.0,8.0,4.0,0.0,21.0,56.0,19.0,6.0,23.0,18.0,14.0,11.0,5.0,47.0,32.0,12.0,42.0,52.0,16.0,30.0,61.0,15.0,33.0,41.0,22.0
3304,0.0,5.0,28.0,1.0,2.0,13.0,10.0,24.0,4.0,23.0,14.0,48.0,12.0,6.0,36.0,61.0,15.0,41.0,22.0,21.0,46.0,20.0,31.0,37.0,32.0,7.0,39.0,19.0,11.0,42.0
3353,0.0,3.0,14.0,10.0,11.0,5.0,24.0,15.0,1.0,26.0,16.0,39.0,53.0,2.0,43.0,64.0,45.0,13.0,7.0,18.0,8.0,19.0,52.0,4.0,22.0,28.0,27.0,17.0,6.0,23.0
3402,2.0,5.0,11.0,7.0,3.0,9.0,12.0,27.0,15.0,37.0,41.0,13.0,18.0,32.0,20.0,21.0,4.0,1.0,19.0,22.0,50.0,38.0,63.0,0.0,10.0,43.0,28.0,24.0,8.0,31.0
3451,6.0,0.0,1.0,31.0,48.0,21.0,33.0,5.0,3.0,4.0,19.0,17.0,22.0,20.0,38.0,2.0,9.0,16.0,8.0,32.0,13.0,15.0,30.0,14.0,24.0,26.0,11.0,10.0,54.0,7.0
3500,2.0,0.0,1.0,12.0,9.0,10.0,4.0,5.0,14.0,25.0,42.0,13.0,19.0,6.0,17.0,3.0,50.0,11.0,7.0,32.0,16.0,20.0,43.0,41.0,8.0,26.0,23.0,48.0,54.0,15.0
3549,1.0,0.0,6.0,28.0,10.0,17.0,25.0,3.0,8.0,20.0,35.0,11.0,12.0,44.0,31.0,4.0,5.0,9.0,2.0,18.0,39.0,14.0,21.0,55.0,13.0,32.0,7.0,19.0,45.0,24.0
3598,1.0,0.0,13.0,17.0,5.0,2.0,20.0,18.0,12.0,11.0,40.0,21.0,19.0,37.0,6.0,10.0,23.0,9.0,7.0,3.0,25.0,14.0,42.0,22.0,16.0,39.0,27.0,30.0,55.0,4.0
3647,6.0,0.0,1.0,13.0,14.0,8.0,3.0,33.0,22.0,25.0,4.0,10.0,21.0,28.0,11.0,12.0,7.0,19.0,2.0,9.0,16.0,5.0,37.0,27.0,15.0,18.0,23.0,52.0,17.0,20.0
3696,3.0,0.0,1.0,19.0,10.0,13.0,6.0,7.0,17.0,5.0,59.0,12.0,18.0,33.0,37.0,11.0,16.0,4.0,22.0,8.0,9.0,15.0,20.0,25.0,24.0,2.0,53.0,54.0,23.0,42.0
3745,3.0,0.0,1.0,8.0,19.0,5.0,7.0,4.0,6.0,10.0,16.0,13.0,21.0,28.0,14.0,15.0,20.0,23.0,33.0,30.0,36.0,17.0,9.0,12.0,18.0,26.0,46.0,54.0,52.0,2.0
3794,2.0,0.0,3.0,16.0,9.0,5.0,25.0,1.0,21.0,10.0,17.0,22.0,13.0,47.0,6.0,27.0,14.0,4.0,12.0,19.0,11.0,48.0,34.0,20.0,8.0,18.0,30.0,15.0,29.0,49.0
3843,0.0,3.0,6.0,1.0,15.0,2.0,16.0,4.0,5.0,11.0,21.0,38.0,43.0,8.0,14.0,17.0,51.0,29.0,12.0,10.0,18.0,9.0,22.0,46.0,13.0,23.0,57.0,7.0,45.0,44.0
3892,3.0,1.0,0.0,18.0,6.0,9.0,17.0,8.0,11.0,15.0,31.0,26.0,37.0,7.0,10.0,33.0,13.0,41.0,2.0,16.0,4.0,24.0,12.0,22.0,5.0,47.0,42.0,14.0,35.0,34.0
3941,1.0,8.0,0.0,3.0,20.0,14.0,16.0,2.0,6.0,33.0,4.0,32.0,7.0,5.0,19.0,43.0,13.0,21.0,12.0,10.0,23.0,41.0,11.0,17.0,52.0,15.0,40.0,30.0,45.0,22.0
3990,1.0,2.0,0.0,8.0,17.0,7.0,9.0,4.0,6.0,13.0,3.0,16.0,27.0,25.0,21.0,41.0,12.0,11.0,22.0,33.0,24.0,31.0,5.0,44.0,26.0,28.0,29.0,46.0,34.0,15.0
4039,1.0,3.0,0.0,4.0,10.0,7.0,9.0,5.0,11.0,41.0,8.0,37.0,15.0,25.0,39.0,6.0,35.0,13.0,17.0,34.0,2.0,20.0,44.0,38.0,61.0,14.0,18.0,43.0,29.0,23.0
4088,1.0,7.0,0.0,5.0,21.0,41.0,13.0,2.0,12.0,8.0,9.0,29.0,15.0,6.0,11.0,22.0,3.0,19.0,17.0,16.0,10.0,60.0,4.0,20.0,51.0,31.0,25.0,23.0,28.0,33.0
4137,1.0,8.0,3.0,2.0,19.0,11.0,4.0,7.0,0.0,26.0,10.0,28.0,31.0,13.0,6.0,24.0,5.0,39.0,45.0,18.0,14.0,40.0,9.0,21.0,27.0,12.0,32.0,36.0,15.0,60.0
4186,1.0,3.0,0.0,22.0,11.0,5.0,19.0,30.0,4.0,2.0,28.0,21.0,6.0,20.0,9.0,15.0,8.0,18.0,12.0,23.0,24.0,7.0,10.0,27.0,45.0,39.0,46.0,36.0,14.0,16.0
4235,1.0,2.0,0.0,3.0,23.0,4.0,41.0,12.0,13.0,44.0,14.0,15.0,10.0,8.0,26.0,16.0,19.0,30.0,18.0,17.0,7.0,5.0,9.0,25.0,53.0,32.0,37.0,50.0,27.0,11.0
4284,1.0,2.0,0.0,23.0,10.0,18.0,7.0,3.0,6.0,25.0,47.0,20.0,13.0,15.0,31.0,14.0,11.0,9.0,21.0,27.0,5.0,17.0,54.0,35.0,41.0,40.0,12.0,26.0,4.0,16.0
4333,0.0,2.0,1.0,8.0,4.0,13.0,10.0,12.0,20.0,58.0,18.0,27.0,19.0,11.0,43.0,5.0,24.0,15.0,9.0,6.0,3.0,14.0,7.0,22.0,65.0,16.0,30.0,40.0,37.0,23.0
4382,2.0,12.0,1.0,10.0,8.0,6.0,4.0,3.0,5.0,19.0,15.0,14.0,7.0,0.0,38.0,25.0,9.0,47.0,45.0,11.0,46.0,16.0,22.0,20.0,36.0,18.0,27.0,33.0,40.0,52.0
4431,4.0,0.0,7.0,9.0,1.0,6.0,5.0,2.0,10.0,3.0,25.0,8.0,12.0,23.0,14.0,16.0,38.0,17.0,15.0,36.0,39.0,21.0,49.0,18.0,37.0,33.0,24.0,48.0,29.0,11.0
4480,3.0,5.0,0.0,10.0,12.0,4.0,7.0,14.0,15.0,31.0,13.0,1.0,6.0,2.0,9.0,33.0,8.0,23.0,30.0,20.0,26.0,38.0,35.0,46.0,49.0,43.0,11.0,55.0,18.0,42.0
4529,0.0,20.0,14.0,13.0,5.0,2.0,1.0,9.0,12.0,28.0,23.0,19.0,4.0,30.0,6.0,15.0,8.0,17.0,7.0,35.0,25.0,22.0,46.0,32.0,44.0,3.0,38.0,16.0,59.0,27.0
4578,0.0,7.0,9.0,3.0,1.0,12.0,10.0,16.0,37.0,28.0,5.0,6.0,15.0,26.0,2.0,25.0,39.0,4.0,14.0,56.0,40.0,11.0,33.0,41.0,13.0,8.0,36.0,34.0,19.0,35.0
4627,0.0,4.0,1.0,3.0,9.0,15.0,13.0,6.0,17.0,32.0,11.0,7.0,8.0,18.0,2.0,29.0,46.0,5.0,20.0,12.0,24.0,23.0,33.0,26.0,19.0,16.0,14.0,21.0,30.0,37.0
4676,9.0,12.0,0.0,7.0,3.0,13.0,27.0,10.0,6.0,17.0,11.0,5.0,4.0,8.0,19.0,26.0,16.0,1.0,2.0,33.0,22.0,15.0,28.0,29.0,42.0,39.0,31.0,58.0,34.0,18.0
4725,5.0,3.0,7.0,0.0,2.0,14.0,6.0,4.0,44.0,17.0,11.0,9.0,33.0,13.0,18.0,23.0,53.0,1.0,8.0,16.0,10.0,24.0,38.0,52.0,41.0,12.0,20.0,15.0,19.0,47.0
4774,1.0,8.0,5.0,0.0,2.0,19.0,11.0,14.0,20.0,12.0,59.0,3.0,6.0,27.0,4.0,15.0,30.0,18.0,21.0,32.0,45.0,9.0,22.0,51.0,25.0,48.0,41.0,26.0,13.0,29.0
4823,8.0,1.0,0.0,12.0,3.0,17.0,9.0,10.0,4.0,23.0,20.0,11.0,2.0,7.0,13.0,31.0,33.0,27.0,5.0,15.0,24.0,46.0,40.0,60.0,28.0,21.0,29.0,25.0,39.0,32.0
4872,5.0,3.0,0.0,7.0,1.0,8.0,6.0,13.0,54.0,31.0,17.0,11.0,4.0,2.0,14.0,20.0,12.0,16.0,25.0,10.0,18.0,22.0,36.0,46.0,21.0,44.0,15.0,60.0,9.0,28.0
